name,argument,role,value_types
listfonts,obj,Graphics object,graphics object
load,filename,Name of file,"matlab.mat, character vector, string scalar"
load,variables,Names of variables to load,"character vector, string scalar"
loadlibrary,hfile,Name of C header file,character vector
loadlibrary,libname,Name of shared library,character vector
loadlibrary,protofile,Name of prototype file,character vector
loadobj,a,,
log,X,Input array,"scalar, vector, matrix, multidimensional array"
log10,X,Input array,"scalar, vector, matrix, multidimensional array"
log2,X,Input matrix,"scalar, vector, matrix, multidimensional array"
logical,A,Input array,"scalar, vector, matrix, multidimensional array"
loglog,LineSpec,"Line style, marker, and color","character vector, string"
loglog,X,x-coordinates,"scalar, vector, matrix"
loglog,Y,y-coordinates,"scalar, vector, matrix"
loglog,ax,Target axes,Axes object
logm,A,Input matrix,square matrix
logspace,a,First bound,numeric scalar
logspace,b,Second bound,numeric scalar
logspace,n,Number of points,"50, real numeric scalar"
lookAheadBoundary,pat,Input pattern,"pattern array, string array, character vector, cell array of character vectors"
lookBehindBoundary,pat,Input pattern,"pattern array, string array, character vector, cell array of character vectors"
lookfor,keyword,Keyword to search for,"character vector, string scalar"
lower,str,Input array,"string array, character array, cell array of character vectors"
ls,name,Name of file or folder,"character vector, string scalar"
lscov,A,required,numeric
lscov,V,positional,numeric
lscov,alg,ordered,"char, choices={'chol','orth'}"
lscov,b,required,numeric
lsqminnorm,A,Coefficient matrix,matrix
lsqminnorm,B,Input array,"vector, matrix"
lsqminnorm,rankWarn,Warning toggle for low-rank matrices,"'nowarn', 'warn'"
lsqminnorm,tol,Rank tolerance,nonnegative scalar
lsqnonneg,C,Linear multiplier,real matrix
lsqnonneg,d,Additive term,real vector
lsqnonneg,options,Optimization options,structure such as optimset returns
lsqnonneg,problem,Problem structure,structure
lsqr,A,Coefficient matrix,"matrix, function handle"
lsqr,M,Preconditioner matrices (as separate arguments),"eye(size(A)), matrices, function handles"
lsqr,M1,Preconditioner matrices (as separate arguments),"eye(size(A)), matrices, function handles"
lsqr,M2,Preconditioner matrices (as separate arguments),"eye(size(A)), matrices, function handles"
lsqr,b,Right-hand side of linear equation,column vector
lsqr,maxit,Maximum number of iterations,"[] or min(size(A,1),20), positive scalar integer"
lsqr,tol,Method tolerance,"[] or 1e-6, positive scalar"
lsqr,x0,Initial guess,"[] or a column vector of zeros, column vector"
lt,A,Operands,"scalars, vectors, matrices, multidimensional arrays"
lt,B,Operands,"scalars, vectors, matrices, multidimensional arrays"
lu,A,Input matrix,matrix
lu,S,Sparse input matrix,sparse matrix
lu,outputForm,Shape of permutation outputs,"'matrix', 'vector'"
lu,thresh,Pivoting thresholds for sparse matrices,"scalar, two-element vector"
magic,n,Matrix order,scalar integer
makehgtform,transform,ordered,"char, choices={'translate','scale','xrotate','yrotate','zrotate','axisrotate'}"
makima,x,Sample points,vector
makima,xq,Query points,"scalar, vector, matrix, array"
makima,y,Function values at sample points,"vector, matrix, array"
mapreduce,ds,Input datastore,datastore object
mapreduce,mapfun,Function handle to map function,function handle
mapreduce,mr,Execution environment,MapReducer object
mapreduce,reducefun,Function handle to reduce function,function handle
mapreducer,ObjectVisibility,namevalue,"char, choices={'Off'}"
mapreducer,mr,ordered,"choices={0}, matlab.mapreduce.MapReducer, parallel.Pool, parallel.cluster.Hadoop"
maskedPattern,mask,Masked pattern name,"string array, character vector, cell array of character vectors"
maskedPattern,pat,Input pattern,"pattern array, string array, character vector, cell array of character vectors"
mat2cell,A,Input array,array
mat2cell,"dim1Dist,...,dimNDist",Distributions of input array elements,numeric vectors
mat2cell,rowDist,Distribution by rows,numeric vector
mat2str,X,Input array,numeric matrix
mat2str,n,Digits of precision,positive integer
matches,pat,Search pattern,"string array, character vector, cell array of character vectors, pattern array (since R2020b)"
matches,str,Input text,"string array, character vector, cell array of character vectors"
matchpairs,Cost,Cost matrix,matrix
matchpairs,costUnmatched,Cost of not matching,scalar
matchpairs,goal,Optimization goal,"'min', 'max'"
material,ax,ordered,matlab.graphics.axis.Axes
material,properties,required,"numeric, vector, numel=3, numeric, vector, numel=4, numeric, vector, numel=5"
matlab (Linux),option1 ... optionN,One or more start-up options,strings
matlab (Windows),option1 ... optionN,One or more startup options,strings
matlab (macOS),option1 ... optionN,One or more startup options,strings
matlab.System.nargin,obj,System object,System object
matlab.System.nargout,obj,System object,System object
matlab.addons.disableAddon,identifier,Unique identifier of add-on,"character vector, string"
matlab.addons.disableAddon,name,Name of add-on,"character vector, string"
matlab.addons.disableAddon,version,Version of add-on,"character vector, string"
matlab.addons.enableAddon,identifier,Unique identifier of add-on,"character vector, string"
matlab.addons.enableAddon,name,Name of add-on,"character vector, string"
matlab.addons.enableAddon,version,Version of add-on,"character vector, string"
matlab.addons.install,agreeToLicense,Whether to accept license agreement,"true, false"
matlab.addons.install,fileName,File name,"character vector, string"
matlab.addons.install,installOption,Whether to overwrite or add the add-on,"'overwrite', 'add'"
matlab.addons.isAddonEnabled,identifier,Unique identifier of add-on,"character vector, string"
matlab.addons.isAddonEnabled,name,Name of add-on,"character vector, string"
matlab.addons.isAddonEnabled,version,Version of add-on,"character vector, string"
matlab.addons.toolbox.installToolbox,agreeToLicense,Indicator to accept license agreement,"false, true"
matlab.addons.toolbox.installToolbox,toolboxFile,Name of toolbox file,"character vector, string scalar"
matlab.addons.toolbox.packageToolbox,outputFile,Name of output MATLAB toolbox file,"character vector, string scalar"
matlab.addons.toolbox.packageToolbox,projectFile,Name of toolbox project file,"character vector, string scalar"
matlab.addons.toolbox.toolboxVersion,newVersion,New toolbox version number,"character vector, string scalar"
matlab.addons.toolbox.toolboxVersion,toolboxFile,Name of toolbox file,"character vector, string scalar"
matlab.addons.toolbox.uninstallToolbox,installedToolbox,Information about toolbox to uninstall,structure
matlab.addons.uninstall,identifier,Unique identifier of add-on,"character vector, string"
matlab.addons.uninstall,name,Name of add-on,"character vector, string"
matlab.addons.uninstall,version,Version of add-on,"character vector, string"
matlab.apputil.create,prjfile,Full or partial path to the .prj file,"character vector, string scalar"
matlab.apputil.install,appfile,Full or partial path to .mlappinstall file,"character vector, string scalar"
matlab.apputil.package,prjfile,Full or partial path to app project (.prj) file,"character vector, string scalar"
matlab.apputil.run,appid,ID of custom app,"character vector, string scalar"
matlab.apputil.uninstall,appid,ID of app,"character vector, string scalar"
matlab.codetools.requiredFilesAndProducts,files,List of files for analysis,"character vector, cell array of character vectors, string array"
matlab.engine.connect_matlab,async,Start MATLAB synchronously or asynchronously,"False, logical"
matlab.engine.connect_matlab,background,Start MATLAB synchronously or asynchronously,"False, logical"
matlab.engine.connect_matlab,name,Name of shared MATLAB session,character array
matlab.engine.shareEngine,name,Name for shared MATLAB session,"character array, string"
matlab.engine.start_matlab,async,Start MATLAB synchronously or asynchronously,"False, logical"
matlab.engine.start_matlab,background,Start MATLAB synchronously or asynchronously,"False, logical"
matlab.engine.start_matlab,option,Startup options for MATLAB process,"'-nodesktop', string"
matlab.io.fits.closeFile,fptr,,
matlab.io.fits.copyHDU,infptr,,
matlab.io.fits.copyHDU,outfptr,,
matlab.io.fits.createFile,filename,,
matlab.io.fits.createImg,bitpix,,
matlab.io.fits.createImg,fptr,,
matlab.io.fits.createImg,naxes,,
matlab.io.fits.createTbl,extname,,
matlab.io.fits.createTbl,fptr,,
matlab.io.fits.createTbl,nrows,,
matlab.io.fits.createTbl,tbltype,,
matlab.io.fits.createTbl,tform,,
matlab.io.fits.createTbl,ttype,,
matlab.io.fits.createTbl,tunit,,
matlab.io.fits.deleteCol,colnum,,
matlab.io.fits.deleteCol,fptr,,
matlab.io.fits.deleteFile,fptr,,
matlab.io.fits.deleteHDU,fptr,,
matlab.io.fits.deleteKey,fptr,,
matlab.io.fits.deleteKey,keyname,,
matlab.io.fits.deleteRecord,fptr,,
matlab.io.fits.deleteRecord,keynum,,
matlab.io.fits.deleteRows,firstrow,,
matlab.io.fits.deleteRows,fptr,,
matlab.io.fits.deleteRows,nrows,,
matlab.io.fits.fileMode,fptr,,
matlab.io.fits.fileName,fptr,,
matlab.io.fits.getAColParms,colnum,,
matlab.io.fits.getAColParms,fptr,,
matlab.io.fits.getBColParms,colnum,,
matlab.io.fits.getBColParms,fptr,,
matlab.io.fits.getColName,casesen,,
matlab.io.fits.getColName,fptr,,
matlab.io.fits.getColName,templt,,
matlab.io.fits.getColType,colnum,,
matlab.io.fits.getColType,fptr,,
matlab.io.fits.getConstantValue,s,,
matlab.io.fits.getEqColType,colnum,,
matlab.io.fits.getEqColType,fptr,,
matlab.io.fits.getHDUnum,fptr,,
matlab.io.fits.getHDUtype,fptr,,
matlab.io.fits.getHdrSpace,fptr,,
matlab.io.fits.getImgSize,fptr,,
matlab.io.fits.getImgType,fptr,,
matlab.io.fits.getNumCols,fptr,,
matlab.io.fits.getNumHDUs,fptr,,
matlab.io.fits.getNumRows,fptr,,
matlab.io.fits.imgCompress,infptr,,
matlab.io.fits.imgCompress,outfptr,,
matlab.io.fits.insertATbl,extname,,
matlab.io.fits.insertATbl,fptr,,
matlab.io.fits.insertATbl,nrows,,
matlab.io.fits.insertATbl,rowlen,,
matlab.io.fits.insertATbl,tbcol,,
matlab.io.fits.insertATbl,tform,,
matlab.io.fits.insertATbl,ttype,,
matlab.io.fits.insertATbl,tunit,,
matlab.io.fits.insertBTbl,extname,,
matlab.io.fits.insertBTbl,fptr,,
matlab.io.fits.insertBTbl,nrows,,
matlab.io.fits.insertBTbl,pcount,,
matlab.io.fits.insertBTbl,tform,,
matlab.io.fits.insertBTbl,ttype,,
matlab.io.fits.insertBTbl,tunit,,
matlab.io.fits.insertCol,colnum,,
matlab.io.fits.insertCol,fptr,,
matlab.io.fits.insertCol,tform,,
matlab.io.fits.insertCol,ttype,,
matlab.io.fits.insertImg,bitpix,,
matlab.io.fits.insertImg,fptr,,
matlab.io.fits.insertImg,naxes,,
matlab.io.fits.insertRows,firstrow,,
matlab.io.fits.insertRows,fptr,,
matlab.io.fits.insertRows,nrows,,
matlab.io.fits.isCompressedImg,fptr,,
matlab.io.fits.movAbsHDU,fptr,,
matlab.io.fits.movAbsHDU,hdunum,,
matlab.io.fits.movNamHDU,extname,,
matlab.io.fits.movNamHDU,extver,,
matlab.io.fits.movNamHDU,fptr,,
matlab.io.fits.movNamHDU,hdutype,,
matlab.io.fits.movRelHDU,fptr,,
matlab.io.fits.movRelHDU,nmove,,
matlab.io.fits.openDiskFile,filename,Name of file to read,character vector
matlab.io.fits.openDiskFile,mode,File access type,"'readonly', 'readwrite'"
matlab.io.fits.openFile,filename,,
matlab.io.fits.openFile,mode,,
matlab.io.fits.readATblHdr,fptr,,
matlab.io.fits.readBTblHdr,fptr,,
matlab.io.fits.readCard,fptr,,
matlab.io.fits.readCard,keyname,,
matlab.io.fits.readCol,colnum,,
matlab.io.fits.readCol,firstrow,,
matlab.io.fits.readCol,fptr,,
matlab.io.fits.readCol,numrows,,
matlab.io.fits.readImg,fpixel,,
matlab.io.fits.readImg,fptr,,
matlab.io.fits.readImg,inc,,
matlab.io.fits.readImg,lpixel,,
matlab.io.fits.readKey,fptr,,
matlab.io.fits.readKey,keyname,,
matlab.io.fits.readKeyCmplx,fptr,,
matlab.io.fits.readKeyCmplx,keyname,,
matlab.io.fits.readKeyDbl,fptr,,
matlab.io.fits.readKeyDbl,keyname,,
matlab.io.fits.readKeyLongLong,fptr,,
matlab.io.fits.readKeyLongLong,keyname,,
matlab.io.fits.readKeyLongStr,fptr,,
matlab.io.fits.readKeyLongStr,keyname,,
matlab.io.fits.readKeyUnit,fptr,,
matlab.io.fits.readKeyUnit,keyname,,
matlab.io.fits.readRecord,fptr,,
matlab.io.fits.readRecord,keynum,,
matlab.io.fits.setBscale,bscale,,
matlab.io.fits.setBscale,bzero,,
matlab.io.fits.setBscale,fptr,,
matlab.io.fits.setCompressionType,comptype,,
matlab.io.fits.setCompressionType,fptr,,
matlab.io.fits.setHCompScale,fptr,,
matlab.io.fits.setHCompScale,scale,,
matlab.io.fits.setHCompSmooth,fptr,,
matlab.io.fits.setHCompSmooth,smooth,,
matlab.io.fits.setTileDim,fptr,,
matlab.io.fits.setTileDim,tilesize,,
matlab.io.fits.setTscale,colnum,,
matlab.io.fits.setTscale,fptr,,
matlab.io.fits.setTscale,tscale,,
matlab.io.fits.setTscale,tzero,,
matlab.io.fits.writeChecksum,fptr,,
matlab.io.fits.writeCol,coldata,,
matlab.io.fits.writeCol,colnum,,
matlab.io.fits.writeCol,firstrow,,
matlab.io.fits.writeCol,fptr,,
matlab.io.fits.writeComment,comment,,
matlab.io.fits.writeComment,fptr,,
matlab.io.fits.writeDate,fptr,,
matlab.io.fits.writeHistory,fptr,,
matlab.io.fits.writeHistory,history,,
matlab.io.fits.writeImg,data,,
matlab.io.fits.writeImg,fpixel,,
matlab.io.fits.writeImg,fptr,,
matlab.io.fits.writeKey,comment,,
matlab.io.fits.writeKey,decimals,,
matlab.io.fits.writeKey,fptr,,
matlab.io.fits.writeKey,keyname,,
matlab.io.fits.writeKey,value,,
matlab.io.fits.writeKeyUnit,fptr,,
matlab.io.fits.writeKeyUnit,keyname,,
matlab.io.fits.writeKeyUnit,unit,,
matlab.io.hdf4.sd.attrInfo,idx,,
matlab.io.hdf4.sd.attrInfo,objID,,
matlab.io.hdf4.sd.close,sdID,,
matlab.io.hdf4.sd.create,datatype,,
matlab.io.hdf4.sd.create,dims,,
matlab.io.hdf4.sd.create,name,,
matlab.io.hdf4.sd.create,sdID,,
matlab.io.hdf4.sd.dimInfo,dimID,,
matlab.io.hdf4.sd.endAccess,sdsID,,
matlab.io.hdf4.sd.fileInfo,sdID,,
matlab.io.hdf4.sd.findAttr,attrName,,
matlab.io.hdf4.sd.findAttr,objID,,
matlab.io.hdf4.sd.getCal,sdsID,,
matlab.io.hdf4.sd.getChunkInfo,sdsID,,
matlab.io.hdf4.sd.getCompInfo,sdsID,,
matlab.io.hdf4.sd.getDataStrs,maxlen,,
matlab.io.hdf4.sd.getDataStrs,sdsID,,
matlab.io.hdf4.sd.getDimID,rDimNumber,,
matlab.io.hdf4.sd.getDimID,sdsID,,
matlab.io.hdf4.sd.getDimScale,dimID,,
matlab.io.hdf4.sd.getDimStrs,dimID,,
matlab.io.hdf4.sd.getFilename,sdID,,
matlab.io.hdf4.sd.getFillValue,sdsID,,
matlab.io.hdf4.sd.getInfo,sdsID,,
matlab.io.hdf4.sd.getRange,sdsID,,
matlab.io.hdf4.sd.idToRef,sdsID,,
matlab.io.hdf4.sd.idType,objID,,
matlab.io.hdf4.sd.isCoordVar,sdsID,,
matlab.io.hdf4.sd.isRecord,sdsID,,
matlab.io.hdf4.sd.nameToIndex,sdID,,
matlab.io.hdf4.sd.nameToIndex,sdsName,,
matlab.io.hdf4.sd.nameToIndices,name,,
matlab.io.hdf4.sd.nameToIndices,sdID,,
matlab.io.hdf4.sd.readAttr,idx,,
matlab.io.hdf4.sd.readAttr,objID,,
matlab.io.hdf4.sd.readChunk,origin,,
matlab.io.hdf4.sd.readChunk,sdsID,,
matlab.io.hdf4.sd.readData,count,,
matlab.io.hdf4.sd.readData,sdsID,,
matlab.io.hdf4.sd.readData,start,,
matlab.io.hdf4.sd.readData,stride,,
matlab.io.hdf4.sd.refToIndex,ref,,
matlab.io.hdf4.sd.refToIndex,sdID,,
matlab.io.hdf4.sd.select,idx,,
matlab.io.hdf4.sd.select,sdID,,
matlab.io.hdf4.sd.setAttr,attrData,,
matlab.io.hdf4.sd.setAttr,name,,
matlab.io.hdf4.sd.setAttr,objID,,
matlab.io.hdf4.sd.setCal,cal,,
matlab.io.hdf4.sd.setCal,calErr,,
matlab.io.hdf4.sd.setCal,datatype,,
matlab.io.hdf4.sd.setCal,offset,,
matlab.io.hdf4.sd.setCal,offsetErr,,
matlab.io.hdf4.sd.setCal,sdsID,,
matlab.io.hdf4.sd.setChunk,chunkDims,,
matlab.io.hdf4.sd.setChunk,compParm,,
matlab.io.hdf4.sd.setChunk,compType,,
matlab.io.hdf4.sd.setChunk,sdsID,,
matlab.io.hdf4.sd.setCompress,compParm,,
matlab.io.hdf4.sd.setCompress,compType,,
matlab.io.hdf4.sd.setCompress,sdsID,,
matlab.io.hdf4.sd.setDataStrs,coordsys,,
matlab.io.hdf4.sd.setDataStrs,format,,
matlab.io.hdf4.sd.setDataStrs,label,,
matlab.io.hdf4.sd.setDataStrs,sdsID,,
matlab.io.hdf4.sd.setDataStrs,unit,,
matlab.io.hdf4.sd.setDimName,dimID,,
matlab.io.hdf4.sd.setDimName,name,,
matlab.io.hdf4.sd.setDimScale,dimID,,
matlab.io.hdf4.sd.setDimScale,scaleData,,
matlab.io.hdf4.sd.setDimStrs,dimID,,
matlab.io.hdf4.sd.setDimStrs,format,,
matlab.io.hdf4.sd.setDimStrs,label,,
matlab.io.hdf4.sd.setDimStrs,unit,,
matlab.io.hdf4.sd.setExternalFile,filename,,
matlab.io.hdf4.sd.setExternalFile,offset,,
matlab.io.hdf4.sd.setExternalFile,sdsID,,
matlab.io.hdf4.sd.setFillMode,fillMode,,
matlab.io.hdf4.sd.setFillMode,sdID,,
matlab.io.hdf4.sd.setFillValue,fillvalue,,
matlab.io.hdf4.sd.setFillValue,sdsID,,
matlab.io.hdf4.sd.setNBitDataSet,bitLen,,
matlab.io.hdf4.sd.setNBitDataSet,ext,,
matlab.io.hdf4.sd.setNBitDataSet,fillone,,
matlab.io.hdf4.sd.setNBitDataSet,sdsID,,
matlab.io.hdf4.sd.setNBitDataSet,startBit,,
matlab.io.hdf4.sd.setRange,maxval,,
matlab.io.hdf4.sd.setRange,minval,,
matlab.io.hdf4.sd.setRange,sdsID,,
matlab.io.hdf4.sd.start,access,,
matlab.io.hdf4.sd.start,filename,,
matlab.io.hdf4.sd.writeChunk,data,,
matlab.io.hdf4.sd.writeChunk,fortran_origin,,
matlab.io.hdf4.sd.writeChunk,sdsID,,
matlab.io.hdf4.sd.writeData,sdsID,,
matlab.io.hdf4.sd.writeData,varargin,,
matlab.io.hdfeos.gd.attach,gfid,,
matlab.io.hdfeos.gd.attach,gridname,,
matlab.io.hdfeos.gd.close,gfid,,
matlab.io.hdfeos.gd.compInfo,fieldName,,
matlab.io.hdfeos.gd.compInfo,gridID,,
matlab.io.hdfeos.gd.create,gfid,,
matlab.io.hdfeos.gd.create,gridname,,
matlab.io.hdfeos.gd.create,lowright,,
matlab.io.hdfeos.gd.create,upleft,,
matlab.io.hdfeos.gd.create,xdimsize,,
matlab.io.hdfeos.gd.create,ydimsize,,
matlab.io.hdfeos.gd.defBoxRegion,cornerLat,,
matlab.io.hdfeos.gd.defBoxRegion,cornerLon,,
matlab.io.hdfeos.gd.defBoxRegion,gridID,,
matlab.io.hdfeos.gd.defComp,compParm,,
matlab.io.hdfeos.gd.defComp,compScheme,,
matlab.io.hdfeos.gd.defComp,gridID,,
matlab.io.hdfeos.gd.defDim,dimlen,,
matlab.io.hdfeos.gd.defDim,dimname,,
matlab.io.hdfeos.gd.defDim,gid,,
matlab.io.hdfeos.gd.defField,dtype,,
matlab.io.hdfeos.gd.defField,gridID,,
matlab.io.hdfeos.gd.defField,idimlist,,
matlab.io.hdfeos.gd.defField,mergeCode,,
matlab.io.hdfeos.gd.defField,name,,
matlab.io.hdfeos.gd.defOrigin,gridID,,
matlab.io.hdfeos.gd.defOrigin,originCode,,
matlab.io.hdfeos.gd.defPixReg,gridID,,
matlab.io.hdfeos.gd.defPixReg,pixRegCode,,
matlab.io.hdfeos.gd.defProj,gridID,,
matlab.io.hdfeos.gd.defProj,projCode,,
matlab.io.hdfeos.gd.defProj,projParm,,
matlab.io.hdfeos.gd.defProj,sphereCode,,
matlab.io.hdfeos.gd.defProj,zoneCode,,
matlab.io.hdfeos.gd.defTile,gridID,,
matlab.io.hdfeos.gd.defTile,tileDims,,
matlab.io.hdfeos.gd.defVrtRegion,gridID,,
matlab.io.hdfeos.gd.defVrtRegion,regionID,,
matlab.io.hdfeos.gd.defVrtRegion,vobj,,
matlab.io.hdfeos.gd.defVrtRegion,vrange,,
matlab.io.hdfeos.gd.detach,gridID,,
matlab.io.hdfeos.gd.dimInfo,dimname,,
matlab.io.hdfeos.gd.dimInfo,gridID,,
matlab.io.hdfeos.gd.extractRegion,fieldName,,
matlab.io.hdfeos.gd.extractRegion,gridID,,
matlab.io.hdfeos.gd.extractRegion,regionID,,
matlab.io.hdfeos.gd.fieldInfo,fieldName,,
matlab.io.hdfeos.gd.fieldInfo,gridID,,
matlab.io.hdfeos.gd.getFillValue,fieldname,,
matlab.io.hdfeos.gd.getFillValue,gridID,,
matlab.io.hdfeos.gd.getPixValues,cols,,
matlab.io.hdfeos.gd.getPixValues,fieldName,,
matlab.io.hdfeos.gd.getPixValues,gridID,,
matlab.io.hdfeos.gd.getPixValues,rows,,
matlab.io.hdfeos.gd.getPixels,gridID,,
matlab.io.hdfeos.gd.getPixels,lat,,
matlab.io.hdfeos.gd.getPixels,lon,,
matlab.io.hdfeos.gd.gridInfo,gridID,,
matlab.io.hdfeos.gd.ij2ll,col,,
matlab.io.hdfeos.gd.ij2ll,gridID,,
matlab.io.hdfeos.gd.ij2ll,row,,
matlab.io.hdfeos.gd.inqAttrs,gridID,,
matlab.io.hdfeos.gd.inqDims,gridID,,
matlab.io.hdfeos.gd.inqFields,gridID,,
matlab.io.hdfeos.gd.inqGrid,filename,,
matlab.io.hdfeos.gd.interpolate,fieldName,,
matlab.io.hdfeos.gd.interpolate,gridID,,
matlab.io.hdfeos.gd.interpolate,lat,,
matlab.io.hdfeos.gd.interpolate,lon,,
matlab.io.hdfeos.gd.ll2ij,gridID,,
matlab.io.hdfeos.gd.ll2ij,lat,,
matlab.io.hdfeos.gd.ll2ij,lon,,
matlab.io.hdfeos.gd.nEntries,enttype,,
matlab.io.hdfeos.gd.nEntries,gridID,,
matlab.io.hdfeos.gd.open,access,,
matlab.io.hdfeos.gd.open,filename,,
matlab.io.hdfeos.gd.originInfo,gridID,,
matlab.io.hdfeos.gd.pixRegInfo,gridID,,
matlab.io.hdfeos.gd.projInfo,gridID,,
matlab.io.hdfeos.gd.readAttr,attrName,,
matlab.io.hdfeos.gd.readAttr,gridID,,
matlab.io.hdfeos.gd.readBlkSomOffset,gridID,,
matlab.io.hdfeos.gd.readField,count,,
matlab.io.hdfeos.gd.readField,fieldName,,
matlab.io.hdfeos.gd.readField,gridID,,
matlab.io.hdfeos.gd.readField,start,,
matlab.io.hdfeos.gd.readField,stride,,
matlab.io.hdfeos.gd.readTile,fieldName,,
matlab.io.hdfeos.gd.readTile,gridID,,
matlab.io.hdfeos.gd.readTile,tilecoords,,
matlab.io.hdfeos.gd.regionInfo,fieldName,,
matlab.io.hdfeos.gd.regionInfo,gridID,,
matlab.io.hdfeos.gd.regionInfo,regionID,,
matlab.io.hdfeos.gd.setFillValue,fieldName,,
matlab.io.hdfeos.gd.setFillValue,fillValue,,
matlab.io.hdfeos.gd.setFillValue,gridID,,
matlab.io.hdfeos.gd.setTileComp,compCode,,
matlab.io.hdfeos.gd.setTileComp,compParm,,
matlab.io.hdfeos.gd.setTileComp,fieldName,,
matlab.io.hdfeos.gd.setTileComp,gridID,,
matlab.io.hdfeos.gd.setTileComp,tileSize,,
matlab.io.hdfeos.gd.sphereCodeToName,code,,
matlab.io.hdfeos.gd.sphereNameToCode,name,,
matlab.io.hdfeos.gd.tileInfo,fieldName,,
matlab.io.hdfeos.gd.tileInfo,gridID,,
matlab.io.hdfeos.gd.writeAttr,attrName,,
matlab.io.hdfeos.gd.writeAttr,data,,
matlab.io.hdfeos.gd.writeAttr,gridID,,
matlab.io.hdfeos.gd.writeBlkSomOffset,gridID,,
matlab.io.hdfeos.gd.writeBlkSomOffset,offset,,
matlab.io.hdfeos.gd.writeField,fieldName,,
matlab.io.hdfeos.gd.writeField,gridID,,
matlab.io.hdfeos.gd.writeField,varargin,,
matlab.io.hdfeos.gd.writeTile,data,,
matlab.io.hdfeos.gd.writeTile,fieldName,,
matlab.io.hdfeos.gd.writeTile,gridID,,
matlab.io.hdfeos.gd.writeTile,tilecoords,,
matlab.io.hdfeos.sw.attach,swathname,,
matlab.io.hdfeos.sw.attach,swfid,,
matlab.io.hdfeos.sw.close,swfid,,
matlab.io.hdfeos.sw.compInfo,fieldName,,
matlab.io.hdfeos.sw.compInfo,swathID,,
matlab.io.hdfeos.sw.create,swathname,,
matlab.io.hdfeos.sw.create,swfid,,
matlab.io.hdfeos.sw.defBoxRegion,cornerlat,,
matlab.io.hdfeos.sw.defBoxRegion,cornerlon,,
matlab.io.hdfeos.sw.defBoxRegion,mode,,
matlab.io.hdfeos.sw.defBoxRegion,swathID,,
matlab.io.hdfeos.sw.defComp,compParm,,
matlab.io.hdfeos.sw.defComp,compScheme,,
matlab.io.hdfeos.sw.defComp,swathID,,
matlab.io.hdfeos.sw.defDataField,dtype,,
matlab.io.hdfeos.sw.defDataField,idimlist,,
matlab.io.hdfeos.sw.defDataField,mergeCode,,
matlab.io.hdfeos.sw.defDataField,name,,
matlab.io.hdfeos.sw.defDataField,swathID,,
matlab.io.hdfeos.sw.defDim,dimlen,,
matlab.io.hdfeos.sw.defDim,dimname,,
matlab.io.hdfeos.sw.defDim,swathID,,
matlab.io.hdfeos.sw.defDimMap,datadim,,
matlab.io.hdfeos.sw.defDimMap,geodim,,
matlab.io.hdfeos.sw.defDimMap,increment,,
matlab.io.hdfeos.sw.defDimMap,offset,,
matlab.io.hdfeos.sw.defDimMap,swathID,,
matlab.io.hdfeos.sw.defGeoField,dtype,,
matlab.io.hdfeos.sw.defGeoField,idimlist,,
matlab.io.hdfeos.sw.defGeoField,mergeCode,,
matlab.io.hdfeos.sw.defGeoField,name,,
matlab.io.hdfeos.sw.defGeoField,swathID,,
matlab.io.hdfeos.sw.defTimePeriod,mode,,
matlab.io.hdfeos.sw.defTimePeriod,startTime,,
matlab.io.hdfeos.sw.defTimePeriod,stopTime,,
matlab.io.hdfeos.sw.defTimePeriod,swathID,,
matlab.io.hdfeos.sw.defVrtRegion,range,,
matlab.io.hdfeos.sw.defVrtRegion,regionID,,
matlab.io.hdfeos.sw.defVrtRegion,swathID,,
matlab.io.hdfeos.sw.defVrtRegion,vertObj,,
matlab.io.hdfeos.sw.detach,swathID,,
matlab.io.hdfeos.sw.dimInfo,dimname,,
matlab.io.hdfeos.sw.dimInfo,swathID,,
matlab.io.hdfeos.sw.extractPeriod,fieldName,,
matlab.io.hdfeos.sw.extractPeriod,periodID,,
matlab.io.hdfeos.sw.extractPeriod,swathID,,
matlab.io.hdfeos.sw.extractRegion,fieldName,,
matlab.io.hdfeos.sw.extractRegion,regionID,,
matlab.io.hdfeos.sw.extractRegion,swathID,,
matlab.io.hdfeos.sw.fieldInfo,fieldName,,
matlab.io.hdfeos.sw.fieldInfo,swathID,,
matlab.io.hdfeos.sw.geoMapInfo,dimname,,
matlab.io.hdfeos.sw.geoMapInfo,swathID,,
matlab.io.hdfeos.sw.getFillValue,fieldname,,
matlab.io.hdfeos.sw.getFillValue,swathID,,
matlab.io.hdfeos.sw.idxMapInfo,datadim,,
matlab.io.hdfeos.sw.idxMapInfo,geodim,,
matlab.io.hdfeos.sw.idxMapInfo,swathID,,
matlab.io.hdfeos.sw.inqAttrs,swathID,,
matlab.io.hdfeos.sw.inqDataFields,swathID,,
matlab.io.hdfeos.sw.inqDims,swathID,,
matlab.io.hdfeos.sw.inqGeoFields,swathID,,
matlab.io.hdfeos.sw.inqIdxMaps,swathID,,
matlab.io.hdfeos.sw.inqMaps,swathID,,
matlab.io.hdfeos.sw.inqSwath,filename,,
matlab.io.hdfeos.sw.mapInfo,datadim,,
matlab.io.hdfeos.sw.mapInfo,geodim,,
matlab.io.hdfeos.sw.mapInfo,swathID,,
matlab.io.hdfeos.sw.nEntries,entType,,
matlab.io.hdfeos.sw.nEntries,swathID,,
