name,argument,role,value_types
atanh,X,Hyperbolic tangent of angle,"scalar, vector, matrix, multidimensional array"
audiodevinfo,Fs,Sample rate,scalar
audiodevinfo,ID,Audio device identifier,integer
audiodevinfo,IO,Input or output device,"1, 0"
audiodevinfo,nBits,Number of bits per sample,scalar
audiodevinfo,nChannels,Number of audio channels,"1, 2"
audiodevinfo,name,Name of input or output device,character vector
audioinfo,filename,Name of file,"character vector, string scalar"
audioread,dataType,"Data format of audio data, y","'double', 'native'"
audioread,filename,Name of file to read,"character vector, string scalar"
audioread,samples,Audio samples to read,"[1,inf], two-element vector of positive scalar integers"
audiowrite,Fs,Sample rate,positive integer scalar
audiowrite,filename,Name of file to write,"character vector, string scalar"
audiowrite,y,Audio data to write,real matrix
autumn,m,Number of colors,"256, scalar integer value"
aviinfo,filename,required,"file=*.avi, matlabpathfile=*.avi"
axes,cax,Axes to make current,"Axes object, PolarAxes object, GeographicAxes object, standalone visualization"
axes,parent,Parent container,"Figure object, Panel object, Tab object, TiledChartLayout object, GridLayout object"
axis,ax,Target axes,one or more axes
axis,limits,Axis limits,"four-element vector, six-element vector, eight-element vector"
axis,mode,"Manual, automatic, or semiautomatic selection of axis limits","manual, auto, 'auto x', 'auto y', 'auto z', 'auto xy', 'auto xz', 'auto yz'"
axis,style,Axis limits and scaling,"tight, padded, fill, equal, image, square, vis3d, normal"
axis,visibility,Axes lines and background visibility,"on, off"
axis,ydirection,y-axis direction,"xy, ij"
axtoolbar,ax,Target axes,"Axes object, TiledChartLayout object"
axtoolbar,buttons,Toolbar buttons,"'default', cell array with one or more button names"
axtoolbarbtn,style,Button style,"'push', 'state'"
axtoolbarbtn,tb,Toolbar,AxesToolbar object
balance,A,required,"numeric, square"
balance,permFlag,ordered,"char, choices={'noperm'}"
bandwidth,A,Input matrix,2-D numeric matrix
bandwidth,type,Bandwidth type,"'lower', 'upper'"
bar,ax,Axes object,axes object
bar,color,Bar color,"'b', 'r', 'g', 'c', 'm', 'y', 'k', 'w'"
bar,style,Group style,"'grouped', 'stacked', 'hist', 'histc'"
bar,width,Bar width,"0.8, scalar"
bar,x,x-coordinates,"scalar, vector, matrix"
bar,y,y-coordinates,"scalar, vector, matrix"
bar3,ax,ordered,matlab.graphics.axis.Axes
bar3,color,flag,"char, choices={'yellow','magenta','cyan','red','green','blue','white','black'}, char, @matlab.graphics.internal.isColorSpec"
bar3,style,flag,"choices={'detached','grouped','stacked'}"
bar3,width,ordered,"numeric, scalar"
bar3h,ax,ordered,matlab.graphics.axis.Axes
