name,section,kind,forms
demod,Signal Generation and Preprocessing,function,"X = DEMOD(Y,Fc,Fs,METHOD,OPT);[X1,X2] = DEMOD(Y,Fc,Fs,'qam');y = demod(rx,3e3,Fs,'fm')"
designfilt,Digital Filter Design,function,"D = DESIGNFILT(RESP,P1,V1,P2,V2,...);DESIGNFILT(RESP);DESIGNFILT(D);designfilt(bpFilt)"
dftmtx,Transforms,function,DFTMTX(N);D = dftmtx(4)
digitalFilter,Digital Filter Design,function,
digitrevorder,Transforms,function,"Y = DIGITREVORDER(X, R);[Y,I] = DIGITREVORDER(X, R);y2 = digitrevorder(x, 2);y4 = digitrevorder(x, 4)"
diric,Signal Generation and Preprocessing,function,"Y = DIRIC(X,N);diric(x,7);diric(x,8);diric(x_diric,7)"
downsample,Multirate Signal Processing,function,"DOWNSAMPLE(X,N);DOWNSAMPLE(X,N,PHASE);y = downsample(x,3);y = downsample(x,3,2)"
dpss,Spectral Analysis,function,"[E,V] = DPSS(N,NW);[E,V] = DPSS(N,NW,K);[E,V] = DPSS(N,NW,[K1 K2]);[E,V] = DPSS(N,NW,'spline');[E,V] = DPSS(N,NW,'spline',Ni);DPSS(N,NW,'linear');DPSS(N,NW,'linear',Ni);[E,V] = DPSS(N,NW,'calc');DPSS(...,'trace');[dps_seq,lambda] = dpss(seq_length,time_halfbandwidth,num_seq)"
dpssclear,Spectral Analysis,function,"DPSSCLEAR(N,NW);dpssclear(512,2.5);dpssclear(1024,2.5)"
dpssdir,Spectral Analysis,function,"DPSSDIR(N);DPSSDIR(NW,'NW');DPSSDIR(N,NW)"
dpssload,Spectral Analysis,function,"[E,V] = DPSSLOAD(N,NW);[e,v] = dpssload(512,2.5)"
dpsssave,Spectral Analysis,function,"DPSSSAVE(NW,E,V);STATUS = DPSSSAVE(NW,E,V);dpsssave(time_halfbandwidth,dps_seq,lambda)"
drawpznumbers,unlisted,function,"DRAWPZNUMBERS(PZ, HAX)"
dtw,Correlation and Convolution,function,"DIST = DTW(X,Y);[DIST,IX,IY] = DTW(X,Y);[DIST,IX,IY] = DTW(X,Y,MAXSAMP);[DIST,IX,IY] = DTW(X,Y,...,METRIC);DTW(...);dtw(x,y);dtw(MATLAB1,MATLAB2)"
dutycycle,Measurements and Feature Extraction,function,"D = DUTYCYCLE(X);D = DUTYCYCLE(X,Fs);D = DUTYCYCLE(X,T);D = DUTYCYCLE(TAU,PRF);D = DUTYCYCLE(...,'Polarity',POL);D = DUTYCYCLE(...,'Tolerance',TOL);D = DUTYCYCLE(...,'MidPercentReferenceLevel',L);D = DUTYCYCLE(...,'StateLevels',SL);[D,INITCROSS] = DUTYCYCLE(...);[D,INITCROSS,FINALCROSS] = DUTYCYCLE(...);[D,INITCROSS,FINALCROSS,NEXTCROSS] = DUTYCYCLE(...);[D,INITCROSS,FINALCROSS,NEXTCROSS,MIDLEV] = DUTYCYCLE(...);DUTYCYCLE(...);y = dutycycle(x, t);y = dutycycle(x, 4e6)"
edfheader,Measurements and Feature Extraction,function,"HDRLIST = EDFHEADER(FILETYPE);edfHdr = edfheader(""EDF"");edfPlusHdr = edfheader(""EDF+"")"
