name,section,kind,forms
pburg,Spectral Analysis,function,"Pxx = PBURG(X,ORDER);Pxx = PBURG(X,ORDER,NFFT);[Pxx,W] = PBURG(X,ORDER,NFFT);[Pxx,W] = PBURG(X,ORDER,W);[Pxx,F] = PBURG(X,ORDER,NFFT,Fs);[Pxx,F] = PBURG(X,ORDER,F,Fs);[...] = PBURG(...,FREQRANGE);[Pxx,F,Pxxc] = PBURG(...,'ConfidenceLevel',P);PBURG(...);pburg(y,4,[],1000)"
pcov,Spectral Analysis,function,"Pxx = PCOV(X,ORDER);Pxx = PCOV(X,ORDER,NFFT);[Pxx,W] = PCOV(X,ORDER,NFFT);[Pxx,W] = PCOV(X,ORDER,W);[Pxx,F] = PCOV(X,ORDER,NFFT,Fs);[Pxx,F] = PCOV(X,ORDER,F,Fs);[...] = PCOV(...,FREQRANGE);[Pxx,F,Pxxc] = PCOV(...,'ConfidenceLevel',P);PCOV(...);pcov(y,4,[],1000)"
peak2peak,Measurements and Feature Extraction,function,"PEAK2PEAK(X);Y = PEAK2PEAK(X,DIM);y = peak2peak(x);y = peak2peak(x, 1);y = peak2peak(x, 2)"
peak2rms,Measurements and Feature Extraction,function,"PEAK2RMS(X);Y = PEAK2RMS(X,DIM);y = peak2rms(x);y = peak2rms(x, 1);y = peak2rms(x, 2)"
peig,Spectral Analysis,function,"S = PEIG(X,P);S = PEIG(R,P,'corr');S = PEIG(X,P,NFFT);[S,W] = PEIG(...);[S,W] = PEIG(X,P,W);[S,F] = PEIG(...,Fs);[S,F] = PEIG(X,P,F,Fs);[S,F] = PEIG(...,NW,NOVERLAP);[...] = PEIG(...,FREQRANGE);[S,W,V,E] = PEIG(...);PEIG(...);peig(X,3,'whole');peig(X2,4,'whole')"
pentropy,Time-Frequency Analysis,function,"SE = pentropy(XT);SE = pentropy(X, Fs);SE = pentropy(X, Ts);SE = pentropy(X, Tv);SE = pentropy(P, F, Tv);SE = pentropy(P, F, Ts);[...] = pentropy(..., 'Name1', Value1, 'Name2', Value2, ...);[SE, T] = pentropy(...);pentropy(...);[SE, T] = pentropy(X, Fs);SE = pentropy(P, F, T);pentropy(x, Fs)"
periodogram,Spectral Analysis,function,"Pxx = PERIODOGRAM(X);Pxx = PERIODOGRAM(X,WINDOW);Pxx = PERIODOGRAM(X,WINDOW,...,SPECTRUMTYPE);[Pxx,W] = PERIODOGRAM(X,WINDOW,NFFT);[Pxx,W] = PERIODOGRAM(X,WINDOW,W);[Pxx,F] = PERIODOGRAM(X,WINDOW,NFFT,Fs);[Pxx,F] = PERIODOGRAM(X,WINDOW,F,Fs);[...] = PERIODOGRAM(X,WINDOW,NFFT,...,FREQRANGE);[Pxx,F,Pxxc] = PERIODOGRAM(...,'ConfidenceLevel',P);[RPxx,F] = PERIODOGRAM(X,WINDOW,...,'reassigned');[RPxx,F,Pxx,Fc] = PERIODOGRAM(...,'reassigned');PERIODOGRAM(...);periodogram(x,[],'twosided',512,Fs);periodogram(x,[],512,Fs,'power','reassigned')"
phasedelay,Digital Filter Analysis,function,"[PHI,W] = PHASEDELAY(B,A,N);[PHI,W] = PHASEDELAY(SOS,N);[PHI,W] = PHASEDELAY(D,N);[PHI,W] = PHASEDELAY(...,N,'whole');[PHI,F] = PHASEDELAY(...,N,Fs);[PHI,F] =PHASEDELAY(...,N,'whole',Fs);PHI = PHASEDELAY(...,W);PHI = PHASEDELAY(..,F,Fs);PHASEDELAY(...);phasedelay(b);phasedelay(b,a);phasedelay(SOS);phasedelay(D,2048)"
phasez,Digital Filter Analysis,function,"[PHI,W] = PHASEZ(B,A,N);[PHI,W] = PHASEZ(SOS,N);[PHI,W] = PHASEZ(D,N);[PHI,W] = PHASEZ(...,N,'whole');PHI = PHASEZ(...,W);[PHI,F] = PHASEZ(...,N,Fs);[PHI,F] = PHASEZ(...,N,'whole',Fs);PHI = PHASEZ(...,F,Fs);PHASEZ(...);phasez(b);phasez(b,a,512,'whole');phasez(SOS);phasez(D,2048)"
pkurtosis,Time-Frequency Analysis,function,"SK = pkurtosis(X);SK = pkurtosis(XT);SK = pkurtosis(X, Fs);SK = pkurtosis(X, Ts);SK = pkurtosis(X, Tv);SK = pkurtosis(XT, WINDOW);SK = pkurtosis(X, WINDOW);SK = pkurtosis(X, T, WINDOW);SK = pkurtosis(S, Fs, F, WINDOW);SK = pkurtosis(S, Ts, F, WINDOW);SK = pkurtosis(S, Tv, F, WINDOW);[SK,F,THRESH] = pkurtosis(...);[...] = pkurtosis(...,'ConfidenceLevel', P);pkurtosis(...);pkurtosis(x, fs);pkurtosis(xt);pkurtosis(x, fs, w0);pkurtosis(S, fs, F, window)"
plomb,Spectral Analysis,function,"[P,F] = PLOMB(X,T);[P,F] = PLOMB(X,Fs);[P,F] = PLOMB(...,FMAX);[P,F] = PLOMB(...,FMAX,OFAC);[P,FVEC] = PLOMB(...,FVEC);[P,F] = PLOMB(...,SPECTRUMTYPE);[P,F,PTH] = PLOMB(...,'Pd',PDVEC);[P,W] = PLOMB(X);PLOMB(...);plomb(x,t,'normalized')"
pmcov,Spectral Analysis,function,"Pxx = PMCOV(X,ORDER);Pxx = PMCOV(X,ORDER,NFFT);[Pxx,W] = PMCOV(X,ORDER,NFFT);[Pxx,W] = PMCOV(X,ORDER,W);[Pxx,F] = PMCOV(X,ORDER,NFFT,Fs);[Pxx,F] = PMCOV(X,ORDER,F,Fs);[...] = PMCOV(...,FREQRANGE);[Pxx,F,Pxxc] = PMCOV(...,'ConfidenceLevel',P);PMCOV(...);pmcov(y,4,[],1000)"
pmem,unlisted,function,
pmtm,Spectral Analysis,function,"Pxx = PMTM(X);Pxx = PMTM(X,'Tapers',TYPE);Pxx = PMTM(X,NW);Pxx = PMTM(X,M,'Tapers','sine');Pxx = PMTM(...,NFFT);[Pxx,W] = PMTM(...,NFFT);[Pxx,W] = PMTM(...,W);[Pxx,F] = PMTM(...,NFFT,Fs);[Pxx,F] = PMTM(...,F,Fs);[Pxx,F,Pxxc] = PMTM(...,'ConfidenceLevel',P);[...] = PMTM(...,FREQRANGE);PMTM(...);[Pxx,F] = PMTM(...,'DropLastTaper',DROPFLAG);[Pxx,F] = PMTM(...,Fs,METHOD);[Pxx,F] = PMTM(X,E,V,NFFT,Fs,METHOD);[Pxx,F] = PMTM(X,DPSS_PARAMS,NFFT,Fs,METHOD);PMTM(x,{3.5,'trace'},512,1000);pmtm(x,3.5,[],Fs);pmtm(x,5,[],Fs,'Tapers','sine')"
pmusic,Spectral Analysis,function,"S = PMUSIC(X,P);S = PMUSIC(R,P,'corr');S = PMUSIC(X,P,NFFT);[S,W] = PMUSIC(...);[S,W] = PMUSIC(X,P,W);[S,F] = PMUSIC(...,Fs);[S,F] = PMUSIC(X,P,F,Fs);[S,F] = PMUSIC(...,NW,NOVERLAP);[...] = PMUSIC(...,FREQRANGE);[S,W,V,E] = PMUSIC(...);PMUSIC(...);pmusic(X,3,'whole');pmusic(X2,4,'whole')"
poctave,Spectral Analysis,function,"P = POCTAVE(X,Fs);P = POCTAVE(XT);P = POCTAVE(Pxx,Fs,F);P = POCTAVE(...,TYPE);P = POCTAVE(...,'BandsPerOctave',B);P = POCTAVE(...,'FilterOrder',N);P = POCTAVE(...,'FrequencyLimits',FLIMS);P = POCTAVE(...,'Weighting',FWeight);P = POCTAVE(...,'MinThreshold',THRESH);P = POCTAVE(...,'WindowLength', WINLENGTH);P = POCTAVE(...,'OverlapPercent',OP);[P,CF] = POCTAVE(...);[P,CF,T] = POCTAVE(...);POCTAVE(...);poctave(xInp,Fs,'FrequencyLimits',[120 20E3],'FilterOrder',8)"
poly2ac,Signal Modeling,function,"R=POLY2AC(A,Efinal);r = poly2ac(a,efinal)"
poly2lsf,Signal Modeling,function,LSF = POLY2LSF(A);lsf = poly2lsf(a)
poly2rc,Signal Modeling,function,"K = POLY2RC(A);[K,R0] = POLY2RC(A,Efinal);[k,r0] = poly2rc(a,efinal)"
polyscale,Digital Filter Design,function,"POLYSCALE(A,SCALE);Ax = polyscale(Ao,.85)"
polystab,Digital Filter Design,function,POLYSTAB(A);hmin = polystab(h);polystab(h)
pow2db,Spectral Analysis,function,YDB = POW2DB(Y);y1 = pow2db(2000/2)
powerbw,Measurements and Feature Extraction,function,"BW = POWERBW(X);BW = POWERBW(X, Fs);BW = POWERBW(Pxx, F);BW = POWERBW(Sxx, F, RBW);BW = POWERBW(...,FREQLIMS);BW = POWERBW(...,FREQLIMS,R);[BW, Flo, Fhi] = POWERBW(...);[BW, Flo, Fhi, POWER] = POWERBW(...);POWERBW(...);powerbw(x,Fs)"
prony,Signal Modeling,function,"[B, A] = PRONY(H, NB, NA);[Num,Den] = prony(impulseResp,numOrder,denOrder)"
psd,unlisted,function,
psdoptions,unlisted,function,
pspectrum,Spectral Analysis,function,"P = PSPECTRUM(X);P = PSPECTRUM(X,Fs);P = PSPECTRUM(X,Ts);P = PSPECTRUM(X,Tv);P = PSPECTRUM(...,TYPE);P = PSPECTRUM(...,'TwoSided',VAL);P = PSPECTRUM(...,'FrequencyLimits',FLIMS);P = PSPECTRUM(...,'Leakage',LKG);P = PSPECTRUM(...,'MinThreshold',THRESH);P = PSPECTRUM(...,'FrequencyResolution',FRES);P = PSPECTRUM(...,'Reassign',VAL);P = PSPECTRUM(...,'TimeResolution',TRES);P = PSPECTRUM(...,'OverlapPercent',OP);P = PSPECTRUM(...,'NumPowerBins',NPB);[P,F] = PSPECTRUM(...);[P,F,T] = PSPECTRUM(...);[P,F,PWR] = PSPECTRUM(...);PSPECTRUM(...);pspectrum(xTable);pspectrum(xTable,'FrequencyResolution',25);pspectrum(x,Fs,'Leakage',0);pspectrum(x,Fs,'Leakage',1);pspectrum(y,Fs,'spectrogram');pspectrum(y,Fs,'spectrogram','Reassign',true);pspectrum(y,Fs,'spectrogram','TimeResolution',0.1);pspectrum(yTable,'spectrogram');pspectrum(yTable,'persistence');pspectrum(xTable,'FrequencyLimits',[100,290]);pspectrum(xTable,'spectrogram','FrequencyLimits',[100,290],'TimeResolution',1);pspectrum(xTable,'persistence','FrequencyLimits',[100,290],'TimeResolution',1)"
pulseperiod,Measurements and Feature Extraction,function,"P = PULSEPERIOD(X);P = PULSEPERIOD(X,Fs);P = PULSEPERIOD(X,T);P = PULSEPERIOD(...,'Polarity',POL);P = PULSEPERIOD(...,'Tolerance',TOL);P = PULSEPERIOD(...,'MidPercentReferenceLevel',L);P = PULSEPERIOD(..., 'StateLevels', SL);[P,INITCROSS] = PULSEPERIOD(...);[P,INITCROSS,FINALCROSS] = PULSEPERIOD(...);[P,INITCROSS,FINALCROSS,NEXTCROSS] = PULSEPERIOD(...);[P,INITCROSS,FINALCROSS,NEXTCROSS,MIDLEV] = PULSEPERIOD(...);PULSEPERIOD(...);pulseperiod(x, t);y = pulseperiod(x, 4e6)"
pulsesep,Measurements and Feature Extraction,function,"S = PULSESEP(X);S = PULSESEP(X,Fs);S = PULSESEP(X,T);S = PULSESEP(...,'Polarity',POL);S = PULSESEP(...,'Tolerance', TOL);S = PULSESEP(...,'MidPercentReferenceLevel',L);S = PULSESEP(...,'StateLevels',SL);[S,INITCROSS] = PULSESEP(...);[S,INITCROSS,FINALCROSS] = PULSESEP(...);[S,INITCROSS,FINALCROSS,NEXTCROSS] = PULSESEP(...);[S,INITCROSS,FINALCROSS,NEXTCROSS,MIDLEV] = PULSESEP(...);PULSESEP(...);pulsesep(x, t);y = pulsesep(x, 4e6)"
pulsewidth,Measurements and Feature Extraction,function,"W = PULSEWIDTH(X);W = PULSEWIDTH(X,Fs);W = PULSEWIDTH(X,T);W = PULSEWIDTH(...,'Polarity',POL);W = PULSEWIDTH(...,'Tolerance',TOL);W = PULSEWIDTH(...,'MidPercentReferenceLevel',L);W = PULSEWIDTH(...,'StateLevels',SL);[W,INITCROSS] = PULSEWIDTH(...);[W,INITCROSS,FINALCROSS] = PULSEWIDTH(...);[W,INITCROSS,FINALCROSS,MIDLEV] = PULSEWIDTH(...);PULSEWIDTH(...);pulsewidth(x, t);y = pulsewidth(x, 4e6)"
pulstran,Signal Generation and Preprocessing,function,"Y=PULSTRAN(T,D,'func');Y=PULSTRAN(T,D,@func);PULSTRAN(T,D,'func');PULSTRAN(T,D,'func',P1,P2,...);PULSTRAN(T,D,P,FS);PULSTRAN(T,D,P);PULSTRAN(..., 'method');Y = pulstran(T,D,'tripuls',0.1,-1);Y = pulstran(T,D,@gauspuls,10E3,.5)"
pwelch,Spectral Analysis,function,"Pxx = PWELCH(X);Pxx = PWELCH(X,WINDOW);Pxx = PWELCH(X,WINDOW,...,SPECTRUMTYPE);Pxx = PWELCH(X,WINDOW,NOVERLAP);[Pxx,W] = PWELCH(X,WINDOW,NOVERLAP,NFFT);[Pxx,W] = PWELCH(X,WINDOW,NOVERLAP,W);[Pxx,F] = PWELCH(X,WINDOW,NOVERLAP,NFFT,Fs);[Pxx,F] = PWELCH(X,WINDOW,NOVERLAP,F,Fs);[Pxx,F,Pxxc] = PWELCH(...,'ConfidenceLevel',P);[...] = PWELCH(...,FREQRANGE);[...] = PWELCH(...,TRACE);PWELCH(...);pwelch(x,[],[],[],Fs,'twosided')"
pyulear,Spectral Analysis,function,"Pxx = PYULEAR(X,ORDER);Pxx = PYULEAR(X,ORDER,NFFT);[Pxx,W] = PYULEAR(X,ORDER,NFFT);[Pxx,W] = PYULEAR(X,ORDER,W);[Pxx,F] = PYULEAR(X,ORDER,NFFT,Fs);[Pxx,F] = PYULEAR(X,ORDER,F,Fs);[...] = PYULEAR(...,FREQRANGE);[Pxx,F,Pxxc] = PYULEAR(...,'ConfidenceLevel',P);PYULEAR(...);pyulear(y,4,[],1000)"
rainflow,Vibration Analysis,function,"C = RAINFLOW(X);C = RAINFLOW(X,Fs);C = RAINFLOW(X,T);C = RAINFLOW(XT);C = RAINFLOW(...,'ext');[C,RM,RMR,RMM] = RAINFLOW(...);[C,RM,RMR,RMM,IDX] = RAINFLOW(...);RAINFLOW(...);[C,hist,edges] = rainflow(X,'ext');rainflow(TT)"
rc2ac,Signal Modeling,function,"R = RC2AC(K,R0);a = rc2ac(k,r0)"
rc2is,Signal Modeling,function,INV_SIN = RC2IS(K);isin = rc2is(k)
rc2lar,Signal Modeling,function,G = RC2LAR(K);g = rc2lar(k)
rc2poly,Signal Modeling,function,"A = RC2POLY(K);[A,Efinal] = RC2POLY(K,R0);a = rc2poly(k)"
rceps,Transforms,function,"RCEPS(X);[XHAT, YHAT] = RCEPS(X);[xhat,yhat] = rceps(y);xhat2 = rceps(yhat)"
rcosdesign,Digital Filter Design,function,"B = rcosdesign(BETA, SPAN, SPS);B = rcosdesign(BETA, SPAN, SPS, SHAPE);h = rcosdesign(0.25, 6, 4);h = rcosdesign(0.25, 6, sps)"
rectpuls,Signal Generation and Preprocessing,function,"RECTPULS(T);RECTPULS(-0.5);RECTPULS(0.5);RECTPULS(T,W);x2 = rectpuls(t,20e-3)"
rectwin,Spectral Analysis,function,W = RECTWIN(N);rectwin(L)
remez,unlisted,function,
remezord,unlisted,function,
removesigroi,Measurements and Feature Extraction,function,"ROILIMSOUT = removesigroi(ROILIMS,S);roiMatrixRemoved = removesigroi(roiMatrix,5)"
resample,Multirate Signal Processing,function,"Y = RESAMPLE(X,P,Q);[Y,Ty] = RESAMPLE(X,Tx);[Y,Ty] = RESAMPLE(X,Tx,Fs);[Y,Ty] = RESAMPLE(X,Tx,Fs,P,Q);[Y,Ty] = RESAMPLE(X,Tx,...,METHOD);Y = RESAMPLE(...,P,Q,N);Y = RESAMPLE(...,P,Q,N,BTA);Y = RESAMPLE(...,P,Q,B);[Y,B] = RESAMPLE(X,P,Q,...);[Y,Ty,B] = RESAMPLE(X,Tx,...);Y = RESAMPLE(...,'Dimension',DIM);[Y,B] = RESAMPLE(TT,...);y = resample(x,3,2);[y, ty] = resample(x, tx, Fs);y = resample(x,p,q,'Dimension',2);y = resample(x,2,1,'Dimension',2);yTT = resample(xTT,3,2)"
residuez,Digital Filtering,function,"[R,P,K] = RESIDUEZ(B,A);[B,A] = RESIDUEZ(R,P,K);[r,p] = residuez(num,den)"
risetime,Measurements and Feature Extraction,function,"R = RISETIME(X);R = RISETIME(X,Fs);R = RISETIME(X,T);R = RISETIME(...,'Tolerance',TOL);R = RISETIME(...,'PercentReferenceLevels',PRL);R = RISETIME(...,'StateLevels',SL);[R,LT,UT] = RISETIME(...);[R,LT,UT,LL,UL] = RISETIME(...);RISETIME(...);risetime(x, t);y = risetime(x, 4e6)"
rlevinson,Signal Modeling,function,"R=RLEVINSON(A,Efinal);[R,U]=RLEVINSON(...);[R,U,K]=RLEVINSON(...);[R,U,K,E]=RLEVINSON(...);[r,~,k] = rlevinson(a,varAR);[r,u,k] = rlevinson(a,e)"
rooteig,Spectral Analysis,function,"W = ROOTEIG(X,P);W = ROOTEIG(R,P,'corr');F = ROOTEIG(...,Fs);[W,POW] = ROOTEIG(...);[W,P] = rooteig(X,3)"
rootmusic,Spectral Analysis,function,"W = ROOTMUSIC(X,P);W = ROOTMUSIC(R,P,'corr');F = ROOTMUSIC(...,Fs);[W,POW] = ROOTMUSIC(...);[W,P] = rootmusic(X,3)"
rpmfreqmap,Vibration Analysis,function,"MAP = RPMFREQMAP(X,Fs,RPM);MAP = RPMFREQMAP(X,Fs,RPM,RES);MAP = RPMFREQMAP(...,'Amplitude',AMP);MAP = RPMFREQMAP(...,'Scale',SCALE);MAP = RPMFREQMAP(...,'Window',NAME);MAP = RPMFREQMAP(...,'OverlapPercent',OP);[MAP,FREQ,RPM,TIME,RES] = RPMFREQMAP(...);RPMFREQMAP(...);rpmfreqmap(vib,fs,rpm);[map,freq,rpmOut,time] = rpmfreqmap(vib,fs,rpm);rpmfreqmap(x,Fs,rpm)"
rpmordermap,Vibration Analysis,function,"MAP = RPMORDERMAP(X,Fs,RPM);MAP = RPMORDERMAP(X,Fs,RPM,RES);MAP = RPMORDERMAP(...,'Amplitude',AMP);MAP = RPMORDERMAP(...,'Scale',SCALE);MAP = RPMORDERMAP(...,'Window',NAME);MAP = RPMORDERMAP(...,'OverlapPercent',OP);[MAP,ORDER,RPM,TIME,RES] = RPMORDERMAP(...);RPMORDERMAP(...);rpmordermap(vib,fs,rpm,0.005);[map,order,rpmOut,time] = rpmordermap(vib,fs,rpm,0.005);rpmordermap(x,Fs,rpm)"
rpmtrack,Vibration Analysis,function,"RPM = RPMTRACK(X,FS,ORDER,P);RPM = RPMTRACK(XT,ORDER,P);RPM = RPMTRACK(...,'Method',EM);RPM = RPMTRACK(...,'FrequencyResolution',FRES);RPM = RPMTRACK(...,'PowerPenalty',PPEN);RPM = RPMTRACK(...,'FrequencyPenalty',FPEN);RPM = RPMTRACK(...,'StartTime',TSTART);RPM = RPMTRACK(...,'EndTime',TEND);[RPM, TOUT] = RPMTRACK(...);RPMTRACK(...);rpmtrack(vib,fs,order,P);rpmtrack(vib,fs,order,P,'FrequencyResolution',5)"
rssq,Measurements and Feature Extraction,function,"RSSQ(X);Y = RSSQ(X,DIM);RSSQ(ABS(X));y = rssq(x);y = rssq(x, 1);y = rssq(x, 2)"
sawtooth,Signal Generation and Preprocessing,function,"SAWTOOTH(T);SAWTOOTH(T,WIDTH);SAWTOOTH(T,1)"
scalarFeatureOptions,Measurements and Feature Extraction,function,"opts = scalarFeatureOptions(DOMAIN);opts = scalarFeatureOptions(DOMAIN,Name=Value)"
scaleFilterSections,Digital Filtering,function,"CTFNUMSV = scaleFilterSections(CTFNUM,SV);ctfNumSV = scaleFilterSections(ctfNum,g)"
schurrc,Signal Modeling,function,"K = SCHURRC(R);[K,E] = SCHURRC(R);k = schurrc(r(5:end))"
scopext,unlisted,function,
seqperiod,Measurements and Feature Extraction,mex,"P = SEQPERIOD(X);P = SEQPERIOD(X,TOL);[P,N] = SEQPERIOD(...);P = seqperiod(x);[P,N] = seqperiod(x,1e-5)"
settlingtime,Measurements and Feature Extraction,function,"S = SETTLINGTIME(X,D);S = SETTLINGTIME(X,Fs,D);S = SETTLINGTIME(X,T,D);S = SETTLINGTIME(...,'Tolerance',TOL);S = SETTLINGTIME(...,'MidPercentReferenceLevel',L);S = SETTLINGTIME(...,'StateLevels',SL);[S,SLEV,SINST] = SETTLINGTIME(...);SETTLINGTIME(...);settlingtime(x, t, 2e-6);y = settlingtime(x, 4e6, 2e-6)"
sfdr,Measurements and Feature Extraction,function,"R = SFDR(X);R = SFDR(X, Fs);R = SFDR(X, Fs, MSD);R = SFDR(Sxx, F, 'power');R = SFDR(Sxx, F, MSD, 'power');[R, SPURPOW, SPURFREQ] = SFDR(...);SFDR(...);[sfd, spur, frq] = sfdr(x, Fs);sfdr(x, Fs)"
sgolay,Digital Filter Design,function,"B = SGOLAY(ORDER,FRAMELEN);SGOLAY(ORDER,FRAMELEN,WEIGHTS);[B,G] = SGOLAY(...);b = sgolay(order,framelen);[~,g] = sgolay(5,25)"
sgolayfilt,Digital Filtering,function,"SGOLAYFILT(X,ORDER,FRAMELEN);SGOLAYFILT(X,ORDER,FRAMELEN,WEIGHTS);SGOLAYFILT(X,ORDER,FRAMELEN,[],DIM);SGOLAYFILT(X,ORDER,FRAMELEN,WEIGHTS,DIM);smtlb = sgolayfilt(mtlb,3,41)"
shiftdata,Signal Generation and Preprocessing,function,"[X,PERM,NSHIFTS] = SHIFTDATA(X,DIM);[x,perm,nshifts] = shiftdata(x,2);shiftdata(x,perm,nshifts);[x,perm,nshifts] = shiftdata(x,[])"
shortensigroi,Measurements and Feature Extraction,function,"ROILIMSOUT = shortensigroi(ROILIMS,SL,SR);roiMatrixShortened = shortensigroi(roiMatrix,2,2)"
signalDatastore,Measurements and Feature Extraction,class,
signalFrequencyFeatureExtractor,Measurements and Feature Extraction,class,
signalMask,Measurements and Feature Extraction,class,
signalpolyutils,unlisted,function,
signalTimeFeatureExtractor,Measurements and Feature Extraction,class,
signalTimeFrequencyFeatureExtractor,Measurements and Feature Extraction,class,
sigprivate,unlisted,function,"SIGPRIVATE('FOO',ARG1,ARG2,...)"
sigrangebinmask,Measurements and Feature Extraction,function,"L = SIGRANGEBINMASK(X,BOUND);L = SIGRANGEBINMASK(X,BOUND,Fs);L = SIGRANGEBINMASK(X,BOUND,Ts);L = SIGRANGEBINMASK(...,Relationship=RE);L = SIGRANGEBINMASK(...,IntervalType=IT);L = SIGRANGEBINMASK(...,MinLength=ML);L = SIGRANGEBINMASK(X,...,Dimension=DIM);SIGRANGEBINMASK(...);l = sigrangebinmask(x,3,MinLength=4);sigrangebinmask(x,0,Fs,MinLength=seconds(0.1))"
sigroi2binmask,Measurements and Feature Extraction,function,"MASK = sigroi2binmask(ROILIMS);MASK = sigroi2binmask(ROILIMS,L);mask = sigroi2binmask(roiMatrix);mask = sigroi2binmask(roiMatrix,L)"
sinad,Measurements and Feature Extraction,function,"R = SINAD(X);R = SINAD(X, Fs);R = SINAD(Pxx, F, 'psd');R = SINAD(Sxx, F, RBW, 'power');[R, TOTDISTPOW] = SINAD(...);SINAD(...);sinad(x,Fs);[sineSINAD, distPower] = sinad(Sxx, F, rbw, 'power');sinad(Sxx, F, rbw, 'power')"
sinc,Signal Generation and Preprocessing,function,SINC(X);y = sinc(t)
slewrate,Measurements and Feature Extraction,function,"S = SLEWRATE(X);S = SLEWRATE(X,Fs);S = SLEWRATE(X,T);S = SLEWRATE(...,'Tolerance',TOL);S = SLEWRATE(...,'PercentReferenceLevels',PRL);S = SLEWRATE(...,'StateLevels',SL);[S,LT,UT] = SLEWRATE(...);[S,LT,UT,LL,UL] = SLEWRATE(...);SLEWRATE(...);slewrate(x, t);y = slewrate(x, 4e6)"
snr,Measurements and Feature Extraction,function,"R = SNR(X,Y);R = SNR(X);R = SNR(X,Fs,N);R = SNR(Pxx,F,'psd');R = SNR(Pxx,F,N,'psd');R = SNR(Sxx,F,RBW,'power');R = SNR(Sxx,F,RBW,N,'power');[R, NOISEPOW] = SNR(...);[...] = SNR(...,'aliased');SNR(X,Y);SNR(...);pulseSNR = snr(x,s-x);snr(x,Fs);SNR (in dB);sineSNR = snr(Sxx,F,rbw,'power');snr(Sxx,F,rbw,'power')"
sos2cell,Digital Filtering,function,"C = SOS2CELL(S);C = SOS2CELL(S,G);c = sos2cell(s,g)"
sos2ctf,Digital Filtering,function,"[B,A] = SOS2CTF(SOS);[B,A] = SOS2CTF(SOS,G);[b,a] = sos2ctf(sos,g)"
sos2ss,Digital Filtering,function,"[A,B,C,D]=SOS2SS(SOS,G);[A,B,C,D] = sos2ss(sos)"
sos2tf,Digital Filtering,function,"[B,A] = SOS2TF(SOS,G);[b,a] = sos2tf(sos)"
sos2zp,Digital Filtering,function,"[Z,P,K] = SOS2ZP(SOS,G);[z,p,k] = sos2zp(sos)"
sosfilt,Digital Filtering,function,"Y = SOSFILT(SOS,X);Y = SOSFILT(SOS,X,DIM);y = sosfilt(SOS,x1)"
specgram,unlisted,function,
specplot,unlisted,function,
spectralCrest,Time-Frequency Analysis,function,"crest = spectralCrest(x,f);[crest,spectralPeak,spectralMean] = spectralCrest(...);crest = spectralCrest(...,Window=WINDOW);crest = spectralCrest(...,OverlapLength=OVERLAPLENGTH);crest = spectralCrest(...,FFTLength=FFTLENGTH);crest = spectralCrest(...,Range=RANGE);crest = spectralCrest(...,SpectrumType=SPECTRUMTYPE);spectralCrest(...);spectralCrest(s,f)"
spectralEntropy,Time-Frequency Analysis,function,"entropy = spectralEntropy(x,f);entropy = spectralEntropy(...,Window=WINDOW);entropy = spectralEntropy(...,OverlapLength=OVERLAPLENGTH);entropy = spectralEntropy(...,FFTLength=FFTLENGTH);entropy = spectralEntropy(...,Range=RANGE);entropy = spectralEntropy(...,SpectrumType=SPECTRUMTYPE);spectralEntropy(...);spectralEntropy(s,f)"
spectralFlatness,Time-Frequency Analysis,function,"flatness = spectralFlatness(x,f);[flatness,arithmeticMean,geometricMean] = spectralFlatness(x,f);flatness = spectralFlatness(...,Window=WINDOW);flatness = spectralFlatness(...,OverlapLength=OVERLAPLENGTH);flatness = spectralFlatness(...,FFTLength=FFTLENGTH);flatness = spectralFlatness(...,Range=RANGE);flatness = spectralFlatness(...,'SpectrumType',SPECTRUMTYPE);spectralFlatness(...);spectralFlatness(s,f)"
spectralKurtosis,Time-Frequency Analysis,function,"kurtosis = spectralKurtosis(x,f);[kurtosis,spread,centroid] = spectralKurtosis(...);kurtosis = spectralKurtosis(...,Window=WINDOW);kurtosis = spectralKurtosis(...,OverlapLength=OVERLAPLENGTH);kurtosis = spectralKurtosis(...,FFTLength=FFTLENGTH);kurtosis = spectralKurtosis(...,Range=RANGE);kurtosis = spectralKurtosis(...,SpectrumType=SPECTRUMTYPE);spectralKurtosis(...);spectralKurtosis(s,f)"
spectralSkewness,Time-Frequency Analysis,function,"skewness = spectralSkewness(x,f);[skewness,spread,centroid] = spectralSkewness(...);skewness = spectralSkewness(...,Window=WINDOW);skewness = spectralSkewness(...,OverlapLength=OVERLAPLENGTH);skewness = spectralSkewness(...,FFTLength=FFTLENGTH);skewness = spectralSkewness(...,Range=RANGE);skewness = spectralSkewness(...,SpectrumType=SPECTRUMTYPE);spectralSkewness(...);spectralSkewness(s,f)"
