name,category,kind
multcompare,anova,function
MultinomialDistribution,dist-objects,object
multivarichart,plots,function
mvksdensity,dist-multivariate,function
mvncdf,dist-multivariate,function
mvnpdf,dist-multivariate,function
mvnrnd,dist-multivariate,function
mvregress,regression,function
mvregresslike,regression,function
mvtcdf,dist-multivariate,function
mvtpdf,dist-multivariate,function
mvtrnd,dist-multivariate,function
NakagamiDistribution,dist-objects,object
nancov,descriptive,function
nanmax,descriptive,function
nanmean,descriptive,function
nanmedian,descriptive,function
nanmin,descriptive,function
nanstd,descriptive,function
nansum,descriptive,function
nanvar,descriptive,function
nbincdf,dist-discrete,function
nbinfit,dist-discrete,function
nbininv,dist-discrete,function
nbinpdf,dist-discrete,function
nbinrnd,dist-discrete,function
nbinstat,dist-discrete,function
ncfcdf,dist-continuous,function
ncfinv,dist-continuous,function
ncfpdf,dist-continuous,function
ncfrnd,dist-continuous,function
ncfstat,dist-continuous,function
nctcdf,dist-continuous,function
nctinv,dist-continuous,function
nctpdf,dist-continuous,function
nctrnd,dist-continuous,function
nctstat,dist-continuous,function
ncx2cdf,dist-continuous,function
ncx2inv,dist-continuous,function
ncx2pdf,dist-continuous,function
ncx2rnd,dist-continuous,function
ncx2stat,dist-continuous,function
nearcorr,descriptive,function
NegativeBinomialDistribution,dist-objects,object
negloglik,dist-objects,function
nlinfit,regression,function
nlintool,apps,function
nlmefit,mixed-effects,function
nlmefitsa,mixed-effects,function
nlparci,regression,function
nlpredci,regression,function
nnmf,multivariate,function
nominal,dataset-legacy,object
NonLinearModel,regression,class
NormalDistribution,dist-objects,object
normcdf,dist-continuous,function
normfit,dist-continuous,function
norminv,dist-continuous,function
normlike,dist-continuous,function
normpdf,dist-continuous,function
normplot,plots,function
normrnd,dist-continuous,function
normspec,plots,function
normstat,dist-continuous,function
onehotdecode,utilities,function
onehotencode,utilities,function
optimalleaforder,clustering,function
optimizableVariable,bayesopt,object
ordinal,dataset-legacy,object
parallelcoords,plots,function
paramci,dist-objects,function
paretotails,dist-objects,object
partialcorr,descriptive,function
partialcorri,descriptive,function
pca,multivariate,function
pcacov,multivariate,function
pcares,multivariate,function
pdf,dist-objects,function
pdist,nearest-neighbors,function
pdist2,nearest-neighbors,function
pearsrnd,random,function
perfcurve,model-evaluation,function
PiecewiseLinearDistribution,dist-objects,object
plsregress,regression,function
poisscdf,dist-discrete,function
poissfit,dist-discrete,function
poissinv,dist-discrete,function
PoissonDistribution,dist-objects,object
poisspdf,dist-discrete,function
poissrnd,dist-discrete,function
poisstat,dist-discrete,function
polyconf,regression,function
polytool,apps,function
ppca,multivariate,function
prctile,descriptive,function
probplot,plots,function
procrustes,multivariate,function
proflik,dist-objects,function
qqplot,plots,function
qrandstream,random,function
quantile,descriptive,function
randg,random,function
random,dist-objects,function
randsample,random,function
randtool,apps,function
range,descriptive,function
rangesearch,nearest-neighbors,function
ranksum,hypothesis-tests,function
raylcdf,dist-continuous,function
RayleighDistribution,dist-objects,object
raylfit,dist-continuous,function
raylinv,dist-continuous,function
raylpdf,dist-continuous,function
raylrnd,dist-continuous,function
raylstat,dist-continuous,function
rcoplot,plots,function
ReconstructionICA,feature-selection,object
refcurve,plots,function
refline,plots,function
regress,regression,function
RegressionBaggedEnsemble,regression-learners,class
RegressionEnsemble,regression-learners,class
RegressionGAM,regression-learners,object
RegressionGP,regression-learners,class
RegressionKernel,regression-learners,object
RegressionLinear,regression-learners,class
RegressionLinearCoderConfigurer,code-generation,object
RegressionNeuralNetwork,regression-learners,object
RegressionPartitionedEnsemble,regression-learners,class
RegressionPartitionedGAM,regression-learners,object
RegressionPartitionedKernel,regression-learners,object
RegressionPartitionedLinear,regression-learners,class
RegressionPartitionedModel,regression-learners,class
RegressionPartitionedSVM,regression-learners,class
RegressionSVM,regression-learners,object
RegressionSVMCoderConfigurer,code-generation,object
RegressionTree,regression-learners,class
RegressionTreeCoderConfigurer,code-generation,object
regstats,regression,function
relieff,feature-selection,function
RepeatedMeasuresModel,anova,class
rica,feature-selection,function
