name,kind,folder,graphics,form_index,syntax,name_value
rose,function,specgraph,yes,0,rose(theta),no
rose,function,specgraph,yes,1,"rose(theta,x)",no
rose,function,specgraph,yes,2,"rose(theta,nbins)",no
rose,function,specgraph,yes,3,"rose(ax,...)",no
rose,function,specgraph,yes,4,h = rose(...),no
rose,function,specgraph,yes,5,"[tout,rout] = rose(...)",no
rosser,function,elmat,no,0,A = rosser,no
rosser,function,elmat,no,1,A = rosser(classname),no
rot90,function,elmat,no,0,B = rot90(A),no
rot90,function,elmat,no,1,"B = rot90(A,k)",no
rotate,function,specgraph,yes,0,"rotate(h,direction,alpha)",no
rotate,function,specgraph,yes,1,"rotate(...,origin)",no
rotate3d,function,graph3d,yes,0,rotate3d on,no
rotate3d,function,graph3d,yes,1,rotate3d off,no
rotate3d,function,graph3d,yes,2,rotate3d,no
rotate3d,function,graph3d,yes,3,"rotate3d(figure_handle,...)",no
rotate3d,function,graph3d,yes,4,"rotate3d(axes_handle,...)",no
rotate3d,function,graph3d,yes,5,h = rotate3d(figure_handle),no
round,builtin,elfun,no,0,Y = round(X),no
round,builtin,elfun,no,1,"Y = round(X,N)",no
round,builtin,elfun,no,2,"Y = round(X,N,type)",no
round,builtin,elfun,no,3,Y = round(t),no
round,builtin,elfun,no,4,"Y = round(t,unit)",no
rowfun,function,,no,0,"B = rowfun(func,A)",no
rowfun,function,,no,1,"B = rowfun(func,A,Name,Value)",yes
rows2vars,function,,no,0,T2 = rows2vars(T1),no
rows2vars,function,,no,1,"T2 = rows2vars(T1,Name,Value)",yes
rref,function,matfun,no,0,R = rref(A),no
rref,function,matfun,no,1,"R = rref(A,tol)",no
rref,function,matfun,no,2,"[R,p] = rref(A)",no
rsf2csf,function,matfun,no,0,"[Unew,Tnew] = rsf2csf(U,T)",no
rtickangle,function,graph3d,yes,0,rtickangle(angle),no
rtickangle,function,graph3d,yes,1,"rtickangle(pax,angle)",no
rtickangle,function,graph3d,yes,2,ang = rtickangle,no
rtickangle,function,graph3d,yes,3,ang = rtickangle(pax),no
rtickformat,function,graph3d,yes,0,rtickformat(fmt),no
rtickformat,function,graph3d,yes,1,"rtickformat(pax,___)",no
rtickformat,function,graph3d,yes,2,rfmt = rtickformat,no
rtickformat,function,graph3d,yes,3,rfmt = rtickformat(pax),no
rticklabels,function,graph3d,yes,0,rticklabels(labels),no
rticklabels,function,graph3d,yes,1,rl = rticklabels,no
rticklabels,function,graph3d,yes,2,rticklabels('auto'),no
rticklabels,function,graph3d,yes,3,rticklabels('manual'),no
rticklabels,function,graph3d,yes,4,m = rticklabels('mode'),no
rticklabels,function,graph3d,yes,5,"___ = rticklabels(pax,___)",no
rticks,function,graph3d,yes,0,rticks(ticks),no
rticks,function,graph3d,yes,1,rt = rticks,no
rticks,function,graph3d,yes,2,rticks('auto'),no
rticks,function,graph3d,yes,3,rticks('manual'),no
rticks,function,graph3d,yes,4,m = rticks('mode'),no
rticks,function,graph3d,yes,5,"___ = rticks(pax,___)",no
ruler2num,function,axis,yes,0,"num = ruler2num(data,ruler)",no
run,function,lang,no,0,run(scriptname),no
runperf,function,core,no,0,results = runperf,no
runperf,function,core,no,1,results = runperf(tests),no
runperf,function,core,no,2,"results = runperf(tests,Name,Value)",yes
runtests,function,core,no,0,results = runtests,no
runtests,function,core,no,1,results = runtests(tests),no
runtests,function,core,no,2,"results = runtests(tests,Name,Value)",yes
save,builtin,general,no,0,save(filename),no
save,builtin,general,no,1,"save(filename,variables)",no
save,builtin,general,no,2,"save(filename,variables,fmt)",no
save,builtin,general,no,3,"save(filename,variables,version)",no
save,builtin,general,no,4,"save(filename,variables,version,'-nocompression')",no
save,builtin,general,no,5,"save(filename,variables,'-append')",no
save,builtin,general,no,6,"save(filename,variables,'-append','-nocompression')",no
save,builtin,general,no,7,save filename,no
saveas,function,general,no,0,"saveas(fig,filename)",no
saveas,function,general,no,1,"saveas(fig,filename,formattype)",no
savefig,function,objectsystem,yes,0,savefig(filename),no
savefig,function,objectsystem,yes,1,"savefig(H,filename)",no
savefig,function,objectsystem,yes,2,"savefig(H,filename,'compact')",no
saveobj,builtin,datatypes,no,0,b = saveobj(a),no
savepath,function,general,no,0,savepath,no
savepath,function,general,no,1,savepath folderName/pathdef.m,no
savepath,function,general,no,2,status = savepath(___),no
scatter,function,graphics,yes,0,"scatter(x,y)",no
scatter,function,graphics,yes,1,"scatter(x,y,sz)",no
scatter,function,graphics,yes,2,"scatter(x,y,sz,c)",no
scatter,function,graphics,yes,3,"scatter(___,'filled')",no
scatter,function,graphics,yes,4,"scatter(___,mkr)",no
scatter,function,graphics,yes,5,"scatter(tbl,xvar,yvar)",no
scatter,function,graphics,yes,6,"scatter(tbl,xvar,yvar,'filled')",no
scatter,function,graphics,yes,7,"scatter(ax,___)",no
scatter,function,graphics,yes,8,"scatter(___,Name,Value)",yes
scatter,function,graphics,yes,9,s = scatter(___),no
scatter3,function,graphics,yes,0,"scatter3(X,Y,Z)",no
scatter3,function,graphics,yes,1,"scatter3(X,Y,Z,S)",no
scatter3,function,graphics,yes,2,"scatter3(X,Y,Z,S,C)",no
