name,kind,folder,graphics,form_index,syntax,name_value
&,operator,,no,0,A & B,no
&,operator,,no,1,"and(A,B)",no
',operator,,no,0,B = A',no
',operator,,no,1,B = ctranspose(A),no
*,operator,,no,0,C = A*B,no
*,operator,,no,1,"C = mtimes(A,B)",no
+,operator,,no,0,C = A + B,no
+,operator,,no,1,"C = plus(A,B)",no
-,operator,,no,0,C = A - B,no
-,operator,,no,1,"C = minus(A,B)",no
.',operator,,no,0,B = A.',no
.',operator,,no,1,B = transpose(A),no
.*,operator,,no,0,C = A.*B,no
.*,operator,,no,1,"C = times(A,B)",no
./,operator,,no,0,x = A./B,no
./,operator,,no,1,"x = rdivide(A,B)",no
.\,operator,,no,0,x = B.\A,no
.\,operator,,no,1,"x = ldivide(B,A)",no
.^,operator,,no,0,C = A.^B,no
.^,operator,,no,1,"C = power(A,B)",no
/,operator,,no,0,x = B/A,no
/,operator,,no,1,"x = mrdivide(B,A)",no
:,operator,,no,0,x = j:k,no
:,operator,,no,1,x = j:i:k,no
:,operator,,no,2,"x = colon(j,k)",no
:,operator,,no,3,"x = colon(j,i,k)",no
:,operator,,no,4,"A(:,n)",no
:,operator,,no,5,"A(m,:)",no
:,operator,,no,6,A(:),no
:,operator,,no,7,A(j:k),no
<,operator,,no,0,A < B,no
<,operator,,no,1,"lt(A,B)",no
<=,operator,,no,0,A <= B,no
<=,operator,,no,1,"le(A,B)",no
==,operator,,no,0,A == B,no
==,operator,,no,1,"eq(A,B)",no
>,operator,,no,0,A > B,no
>,operator,,no,1,"gt(A,B)",no
>=,operator,,no,0,A >= B,no
>=,operator,,no,1,"ge(A,B)",no
BeginInvoke,function,,no,0,"result = BeginInvoke(arg1,...,argN,callback,object)",no
Combine,function,,no,0,"result = Combine(delegateA,delegateB)",no
EndInvoke,function,,no,0,result = EndInvoke(asyncResult),no
EndInvoke,function,,no,1,"[res0,...,resN] = EndInvoke(res0,...,resN,asyncResult)",no
Inf,builtin,,no,0,X = Inf,no
Inf,builtin,,no,1,X = Inf(n),no
Inf,builtin,,no,2,"X = Inf(sz1,...,szN)",no
Inf,builtin,,no,3,X = Inf(sz),no
Inf,builtin,,no,4,"X = Inf(___,typename)",no
Inf,builtin,,no,5,"X = Inf(___,'like',p)",no
Logical Operators: Short-Circuit && ||,function,,no,0,expr1 && expr2,no
Logical Operators: Short-Circuit && ||,function,,no,1,expr1 || expr2,no
NET.addAssembly,builtin,+NET,no,0,asmInfo = NET.addAssembly(globalName),no
NET.addAssembly,builtin,+NET,no,1,asmInfo = NET.addAssembly(privateName),no
NET.convertArray,builtin,+NET,no,0,"arrObj = NET.convertArray(V,arrType,m,n,p,...)",no
NET.createArray,builtin,+NET,no,0,"array = NET.createArray(typeName,[m,n,p,...])",no
NET.createArray,builtin,+NET,no,1,"array = NET.createArray(typeName,m,n,p,...)",no
NET.createGeneric,builtin,+NET,no,0,"genObj = createGeneric(className,paramTypes)",no
NET.createGeneric,builtin,+NET,no,1,"genObj = createGeneric(className,paramTypes,ctorArgs)",no
NET.disableAutoRelease,builtin,+NET,no,0,NET.disableAutoRelease(obj),no
NET.enableAutoRelease,builtin,+NET,no,0,NET.enableAutoRelease(obj),no
NET.invokeGenericMethod,builtin,+NET,no,0,"outargs = NET.invokeGenericMethod(obj,genericMethodName,paramTypes)",no
NET.invokeGenericMethod,builtin,+NET,no,1,"outargs = NET.invokeGenericMethod(obj,genericMethodName,paramTypes,args)",no
NET.isNETSupported,builtin,+NET,no,0,tf = NET.isNETSupported,no
NET.setStaticProperty,builtin,+NET,no,0,"NET.setStaticProperty(propName,value)",no
NaN,builtin,,no,0,X = NaN,no
NaN,builtin,,no,1,X = NaN(n),no
NaN,builtin,,no,2,"X = NaN(sz1,...,szN)",no
NaN,builtin,,no,3,X = NaN(sz),no
NaN,builtin,,no,4,"X = NaN(___,typename)",no
NaN,builtin,,no,5,"X = NaN(___,'like',p)",no
NaT,function,datetime,no,0,NaT,no
NaT,function,datetime,no,1,t = NaT(n),no
NaT,function,datetime,no,2,"t = NaT(sz1,...,szN)",no
NaT,function,datetime,no,3,t = NaT(sz),no
NaT,function,datetime,no,4,"t = NaT(___,'Format',fmt)",no
NaT,function,datetime,no,5,"t = NaT(___,'TimeZone',tz)",no
Remove,function,,no,0,"result = Remove(combinedDelegate,removedDelegate)",no
RemoveAll,function,,no,0,"result = RemoveAll(combinedDelegate,removedDelegate)",no
VideoReader.getFileFormats,function,audiovideo,no,0,formats = VideoReader.getFileFormats(),no
VideoWriter.getProfiles,function,audiovideo,no,0,profiles = VideoWriter.getProfiles(),no
\,operator,,no,0,x = A\B,no
\,operator,,no,1,"x = mldivide(A,B)",no
^,operator,,no,0,C = A^B,no
^,operator,,no,1,"C = mpower(A,B)",no
abs,builtin,elfun,no,0,Y = abs(X),no
accumarray,builtin,elmat,no,0,"B = accumarray(ind,data)",no
accumarray,builtin,elmat,no,1,"B = accumarray(ind,data,sz)",no
accumarray,builtin,elmat,no,2,"B = accumarray(ind,data,sz,fun)",no
accumarray,builtin,elmat,no,3,"B = accumarray(ind,data,sz,fun,fillval)",no
accumarray,builtin,elmat,no,4,"B = accumarray(ind,data,sz,fun,fillval,issparse)",no
acos,builtin,elfun,no,0,Y = acos(X),no
acosd,builtin,elfun,no,0,Y = acosd(X),no
acosh,builtin,elfun,no,0,Y = acosh(X),no
acot,builtin,elfun,no,0,Y = acot(X),no
acotd,builtin,elfun,no,0,Y = acotd(X),no
acoth,builtin,elfun,no,0,Y = acoth(X),no
acsc,builtin,elfun,no,0,Y = acsc(X),no
acscd,builtin,elfun,no,0,Y = acscd(X),no
acsch,builtin,elfun,no,0,Y = acsch(X),no
actxGetRunningServer,builtin,winfun,no,0,c = actxGetRunningServer(progid),no
actxcontrol,function,winfun,no,0,c = actxcontrol(progid),no
actxcontrol,function,winfun,no,1,"c = actxcontrol(progid,Name,Value)",yes
actxcontrollist,function,winfun,no,0,info = actxcontrollist,no
actxcontrolselect,function,winfun,no,0,c = actxcontrolselect,no
actxcontrolselect,function,winfun,no,1,"[c, info] = actxcontrolselect",no
actxserver,function,winfun,no,0,c = actxserver(progid),no
actxserver,function,winfun,no,1,"c = actxserver(progid,'machine',machineName)",no
addToolbarExplorationButtons,function,plottools,yes,0,addToolbarExplorationButtons(fig),no
addpath,function,general,no,0,"addpath(folderName1,...,folderNameN)",no
addpath,function,general,no,1,"addpath(folderName1,...,folderNameN,position)",no
addpath,function,general,no,2,"addpath(___,'-frozen')",no
addpath,function,general,no,3,oldpath = addpath(___),no
addpoints,builtin,graphics,yes,0,"addpoints(an,x,y)",no
addpoints,builtin,graphics,yes,1,"addpoints(an,x,y,z)",no
addpref,function,uitools,no,0,"addpref(group,pref,value)",no
addprop,function,,no,0,"T = addprop(T,propertyNames,propertyTypes)",no
addtodate,function,timefun,no,0,"R = addtodate(D, Q, F)",no
airy,builtin,specfun,no,0,W = airy(Z),no
airy,builtin,specfun,no,1,"W = airy(k,Z)",no
airy,builtin,specfun,no,2,"W = airy(k,Z,scale)",no
align,function,uitools,no,0,"align(components,valign,spacing)",no
align,function,uitools,no,1,"align(components,valign,'fixed',distance)",no
align,function,uitools,no,2,"align(components,spacing,halign)",no
align,function,uitools,no,3,"align(components,'fixed',distance,halign)",no
align,function,uitools,no,4,"align(components,valign,halign)",no
align,function,uitools,no,5,positions = align(___),no
align,function,uitools,no,6,"positions = align(cpositions,___)",no
alim,function,graph3d,yes,0,alpha_limits = alim,no
alim,function,graph3d,yes,1,alim([amin amax]),no
alim,function,graph3d,yes,2,alim_mode = alim('mode'),no
alim,function,graph3d,yes,3,alim('alim_mode'),no
alim,function,graph3d,yes,4,"alim(ax,...)",no
all,builtin,ops,no,0,B = all(A),no
all,builtin,ops,no,1,"B = all(A,'all')",no
all,builtin,ops,no,2,"B = all(A,dim)",no
all,builtin,ops,no,3,"B = all(A,vecdim)",no
allchild,function,uitools,no,0,child_handles = allchild(handle_list),no
alpha,function,graph3d,yes,0,alpha value,no
alpha,function,graph3d,yes,1,alpha alphadata,no
alpha,function,graph3d,yes,2,alpha facealpha,no
alpha,function,graph3d,yes,3,alpha alphadatamapping,no
alpha,function,graph3d,yes,4,"alpha(obj,___)",no
alpha,function,graph3d,yes,5,"alpha(ax,___)",no
alphamap,function,graph3d,yes,0,alphamap(alpha_map),no
alphamap,function,graph3d,yes,1,alphamap('parameter'),no
alphamap,function,graph3d,yes,2,"alphamap('parameter',length)",no
alphamap,function,graph3d,yes,3,"alphamap('parameter',delta)",no
alphamap,function,graph3d,yes,4,"alphamap(fig,...)",no
alphamap,function,graph3d,yes,5,"alphamap(ax,...)",no
alphamap,function,graph3d,yes,6,alpha_map = alphamap,no
alphamap,function,graph3d,yes,7,alpha_map = alphamap(fig),no
alphamap,function,graph3d,yes,8,alpha_map = alphamap(ax),no
alphamap,function,graph3d,yes,9,alpha_map = alphamap('parameter'),no
alphanumericBoundary,builtin,pattern,no,0,pat = alphanumericBoundary,no
alphanumericBoundary,builtin,pattern,no,1,pat = alphanumericBoundary(type),no
alphanumericsPattern,builtin,pattern,no,0,pat = alphanumericsPattern,no
alphanumericsPattern,builtin,pattern,no,1,pat = alphanumericsPattern(N),no
alphanumericsPattern,builtin,pattern,no,2,"pat = alphanumericsPattern(minCharacters,maxCharacters)",no
amd,builtin,sparfun,no,0,P = amd(A),no
amd,builtin,sparfun,no,1,"P = amd(A,opts)",no
ancestor,builtin,objectsystem,yes,0,"p = ancestor(h,type)",no
ancestor,builtin,objectsystem,yes,1,"p = ancestor(h,type,'toplevel')",no
and,builtin,ops,no,0,A & B,no
and,builtin,ops,no,1,"and(A,B)",no
angle,function,elfun,no,0,theta = angle(z),no
animatedline,builtin,graphics,yes,0,an = animatedline,no
animatedline,builtin,graphics,yes,1,"an = animatedline(x,y)",no
animatedline,builtin,graphics,yes,2,"an = animatedline(x,y,z)",no
animatedline,builtin,graphics,yes,3,"an = animatedline(___,Name,Value)",yes
animatedline,builtin,graphics,yes,4,"an = animatedline(ax,___)",no
annotation,function,scribe,yes,0,"annotation(lineType,x,y)",no
annotation,function,scribe,yes,1,annotation(lineType),no
annotation,function,scribe,yes,2,"annotation(shapeType,dim)",no
annotation,function,scribe,yes,3,annotation(shapeType),no
annotation,function,scribe,yes,4,"annotation(___,Name,Value)",yes
annotation,function,scribe,yes,5,"annotation(container,___)",no
annotation,function,scribe,yes,6,an = annotation(___),no
ans,keyword,lang,no,0,ans,no
any,builtin,ops,no,0,B = any(A),no
any,builtin,ops,no,1,"B = any(A,'all')",no
any,builtin,ops,no,2,"B = any(A,dim)",no
any,builtin,ops,no,3,"B = any(A,vecdim)",no
appdesigner,function,appdesigner,no,0,appdesigner,no
appdesigner,function,appdesigner,no,1,appdesigner(filename),no
appdesigner.customcomponent.configureMetadata,function,+customcomponent,no,0,appdesigner.customcomponent.configureMetadata(classfile),no
appdesigner.customcomponent.removeMetadata,function,+customcomponent,no,0,appdesigner.customcomponent.removeMetadata(classfile),no
append,function,strfun,no,0,"str = append(str1,...,strN)",no
area,function,specgraph,yes,0,"area(X,Y)",no
area,function,specgraph,yes,1,area(Y),no
area,function,specgraph,yes,2,"area(___,basevalue)",no
area,function,specgraph,yes,3,"area(___,Name,Value)",yes
area,function,specgraph,yes,4,"area(ax,___)",no
area,function,specgraph,yes,5,a = area(___),no
arguments,keyword,lang,no,0,arguments ... end,no
arguments,keyword,lang,no,1,arguments (Repeating) ... end,no
array2table,function,tabular,no,0,T = array2table(A),no
array2table,function,tabular,no,1,"T = array2table(A,Name,Value)",yes
array2timetable,function,tabular,no,0,"TT = array2timetable(X,'RowTimes',rowTimes)",no
array2timetable,function,tabular,no,1,"TT = array2timetable(X,'SampleRate',Fs)",no
array2timetable,function,tabular,no,2,"TT = array2timetable(X,'TimeStep',dt)",no
array2timetable,function,tabular,no,3,"TT = array2timetable(___,'StartTime',t0)",no
array2timetable,function,tabular,no,4,"T = array2timetable(X,Name,Value)",yes
arrayfun,builtin,datatypes,no,0,"B = arrayfun(func,A)",no
arrayfun,builtin,datatypes,no,1,"B = arrayfun(func,A1,...,An)",no
arrayfun,builtin,datatypes,no,2,"B = arrayfun(___,Name,Value)",yes
arrayfun,builtin,datatypes,no,3,"[B1,...,Bm] = arrayfun(___)",no
asFewOfPattern,builtin,pattern,no,0,newpat = asFewOfPattern(pat),no
asFewOfPattern,builtin,pattern,no,1,"newpat = asFewOfPattern(pat,minPattern)",no
asFewOfPattern,builtin,pattern,no,2,"newpat = asFewOfPattern(pat,minPattern,maxPattern)",no
asManyOfPattern,builtin,pattern,no,0,newpat = asManyOfPattern(pat),no
asManyOfPattern,builtin,pattern,no,1,"newpat = asManyOfPattern(pat,minPattern)",no
asManyOfPattern,builtin,pattern,no,2,"newpat = asManyOfPattern(pat,minPattern,maxPattern)",no
asec,builtin,elfun,no,0,Y = asec(X),no
asecd,builtin,elfun,no,0,Y = asecd(X),no
asech,builtin,elfun,no,0,Y = asech(X),no
asin,builtin,elfun,no,0,Y = asin(X),no
asind,builtin,elfun,no,0,Y = asind(X),no
asinh,builtin,elfun,no,0,Y = asinh(X),no
assert,builtin,lang,no,0,assert(cond),no
assert,builtin,lang,no,1,"assert(cond,msg)",no
assert,builtin,lang,no,2,"assert(cond,msg,A1,...,An)",no
assert,builtin,lang,no,3,"assert(cond,errID,msg)",no
assert,builtin,lang,no,4,"assert(cond,errID,msg,A1,...,An)",no
assignin,builtin,lang,no,0,"assignin(ws,var,val)",no
atan,builtin,elfun,no,0,Y = atan(X),no
atan2,builtin,elfun,no,0,"P = atan2(Y,X)",no
atan2d,builtin,elfun,no,0,"D = atan2d(Y,X)",no
atand,builtin,elfun,no,0,Y = atand(X),no
atanh,builtin,elfun,no,0,Y = atanh(X),no
audiodevinfo,function,audiovideo,no,0,info = audiodevinfo,no
audiodevinfo,function,audiovideo,no,1,nDevices = audiodevinfo(IO),no
audiodevinfo,function,audiovideo,no,2,"name = audiodevinfo(IO,ID)",no
audiodevinfo,function,audiovideo,no,3,"DriverVersion = audiodevinfo(IO,ID,'DriverVersion')",no
audiodevinfo,function,audiovideo,no,4,"support = audiodevinfo(IO,ID,Fs,nBits,nChannels)",no
audiodevinfo,function,audiovideo,no,5,"ID = audiodevinfo(IO,name)",no
audiodevinfo,function,audiovideo,no,6,"ID = audiodevinfo(IO,Fs,nBits,nChannels)",no
audiodevreset,function,audiovideo,no,0,audiodevreset,no
audioinfo,function,audiovideo,no,0,info = audioinfo(filename),no
audioread,function,audiovideo,no,0,"[y,Fs] = audioread(filename)",no
audioread,function,audiovideo,no,1,"[y,Fs] = audioread(filename,samples)",no
audioread,function,audiovideo,no,2,"[y,Fs] = audioread(___,dataType)",no
audiowrite,function,audiovideo,no,0,"audiowrite(filename,y,Fs)",no
audiowrite,function,audiovideo,no,1,"audiowrite(filename,y,Fs,Name,Value)",yes
autumn,function,color,yes,0,c = autumn,no
autumn,function,color,yes,1,c = autumn(m),no
aviinfo,function,audiovideo,no,0,fileinfo = aviinfo(filename),no
axes,builtin,axis,yes,0,axes,no
axes,builtin,axis,yes,1,"axes(Name,Value)",yes
axes,builtin,axis,yes,2,"axes(parent,Name,Value)",yes
axes,builtin,axis,yes,3,ax = axes(___),no
axes,builtin,axis,yes,4,axes(cax),no
axis,function,graph2d,yes,0,axis(limits),no
axis,function,graph2d,yes,1,axis style,no
axis,function,graph2d,yes,2,axis mode,no
axis,function,graph2d,yes,3,axis ydirection,no
axis,function,graph2d,yes,4,axis visibility,no
axis,function,graph2d,yes,5,lim = axis,no
axis,function,graph2d,yes,6,"[m,v,d] = axis('state')",no
axis,function,graph2d,yes,7,"___ = axis(ax,___)",no
axtoolbar,function,plottools,yes,0,tb = axtoolbar(buttons),no
axtoolbar,function,plottools,yes,1,"tb = axtoolbar(ax,buttons)",no
axtoolbar,function,plottools,yes,2,tb = axtoolbar,no
axtoolbar,function,plottools,yes,3,tb = axtoolbar(ax),no
axtoolbar,function,plottools,yes,4,"tb = axtoolbar(___,Name,Value)",yes
axtoolbar,function,plottools,yes,5,"[tb,btns] = axtoolbar(___)",no
axtoolbarbtn,function,plottools,yes,0,btn = axtoolbarbtn(tb),no
axtoolbarbtn,function,plottools,yes,1,"btn = axtoolbarbtn(tb,style)",no
axtoolbarbtn,function,plottools,yes,2,"btn = axtoolbarbtn(tb,style,Name,Value)",yes
balance,builtin,matfun,no,0,"[T,B] = balance(A)",no
balance,builtin,matfun,no,1,"[S,P,B] = balance(A)",no
balance,builtin,matfun,no,2,B = balance(A),no
balance,builtin,matfun,no,3,"B = balance(A,'noperm')",no
bandwidth,builtin,matfun,no,0,"B = bandwidth(A,type)",no
bandwidth,builtin,matfun,no,1,"[lower,upper] = bandwidth(A)",no
bar,function,specgraph,yes,0,bar(y),no
bar,function,specgraph,yes,1,"bar(x,y)",no
bar,function,specgraph,yes,2,"bar(___,width)",no
bar,function,specgraph,yes,3,"bar(___,style)",no
bar,function,specgraph,yes,4,"bar(___,color)",no
bar,function,specgraph,yes,5,"bar(___,Name,Value)",yes
bar,function,specgraph,yes,6,"bar(ax,___)",no
bar,function,specgraph,yes,7,b = bar(___),no
bar3,function,specgraph,yes,0,bar3(Z),no
bar3,function,specgraph,yes,1,"bar3(Y,Z)",no
bar3,function,specgraph,yes,2,"bar3(...,width)",no
bar3,function,specgraph,yes,3,"bar3(...,style)",no
bar3,function,specgraph,yes,4,"bar3(...,color)",no
bar3,function,specgraph,yes,5,"bar3(ax,...)",no
bar3,function,specgraph,yes,6,h = bar3(...),no
bar3h,function,specgraph,yes,0,bar3h(Y),no
bar3h,function,specgraph,yes,1,"bar3h(Z,Y)",no
bar3h,function,specgraph,yes,2,"bar3h(...,width)",no
bar3h,function,specgraph,yes,3,"bar3h(...,style)",no
bar3h,function,specgraph,yes,4,"bar3h(...,color)",no
bar3h,function,specgraph,yes,5,"bar3h(ax,...)",no
bar3h,function,specgraph,yes,6,h = bar3h(...),no
barh,function,specgraph,yes,0,barh(y),no
barh,function,specgraph,yes,1,"barh(x,y)",no
barh,function,specgraph,yes,2,"barh(___,width)",no
barh,function,specgraph,yes,3,"barh(___,style)",no
barh,function,specgraph,yes,4,"barh(___,color)",no
barh,function,specgraph,yes,5,"barh(___,Name,Value)",yes
barh,function,specgraph,yes,6,"barh(ax,___)",no
barh,function,specgraph,yes,7,b = barh(___),no
base2dec,function,strfun,no,0,"D = base2dec(baseStr,n)",no
batchStartupOptionUsed,builtin,general,no,0,batchStartupOptionUsed,no
beep,builtin,general,no,0,beep,no
beep,builtin,general,no,1,beep on,no
beep,builtin,general,no,2,beep off,no
beep,builtin,general,no,3,status = beep,no
bench,function,general,no,0,t = bench,no
bench,function,general,no,1,t = bench(N),no
besselh,builtin,specfun,no,0,"H = besselh(nu,Z)",no
besselh,builtin,specfun,no,1,"H = besselh(nu,K,Z)",no
besselh,builtin,specfun,no,2,"H = besselh(nu,K,Z,scale)",no
besseli,builtin,specfun,no,0,"I = besseli(nu,Z)",no
besseli,builtin,specfun,no,1,"I = besseli(nu,Z,scale)",no
besselj,builtin,specfun,no,0,"J = besselj(nu,Z)",no
besselj,builtin,specfun,no,1,"J = besselj(nu,Z,scale)",no
besselk,builtin,specfun,no,0,"K = besselk(nu,Z)",no
besselk,builtin,specfun,no,1,"K = besselk(nu,Z,scale)",no
bessely,builtin,specfun,no,0,"Y = bessely(nu,Z)",no
bessely,builtin,specfun,no,1,"Y = bessely(nu,Z,scale)",no
beta,function,specfun,no,0,"B = beta(Z,W)",no
betainc,builtin,specfun,no,0,"I = betainc(X,Z,W)",no
betainc,builtin,specfun,no,1,"I = betainc(X,Z,W,tail)",no
betaincinv,builtin,specfun,no,0,"x = betaincinv(y,z,w)",no
betaincinv,builtin,specfun,no,1,"x = betaincinv(y,z,w,tail)",no
betaln,function,specfun,no,0,"L = betaln(Z,W)",no
bicg,function,sparfun,no,0,"x = bicg(A,b)",no
bicg,function,sparfun,no,1,"x = bicg(A,b,tol)",no
bicg,function,sparfun,no,2,"x = bicg(A,b,tol,maxit)",no
bicg,function,sparfun,no,3,"x = bicg(A,b,tol,maxit,M)",no
bicg,function,sparfun,no,4,"x = bicg(A,b,tol,maxit,M1,M2)",no
bicg,function,sparfun,no,5,"x = bicg(A,b,tol,maxit,M1,M2,x0)",no
bicg,function,sparfun,no,6,"[x,flag] = bicg(___)",no
bicg,function,sparfun,no,7,"[x,flag,relres] = bicg(___)",no
bicg,function,sparfun,no,8,"[x,flag,relres,iter] = bicg(___)",no
bicg,function,sparfun,no,9,"[x,flag,relres,iter,resvec] = bicg(___)",no
bicgstab,function,sparfun,no,0,"x = bicgstab(A,b)",no
bicgstab,function,sparfun,no,1,"x = bicgstab(A,b,tol)",no
bicgstab,function,sparfun,no,2,"x = bicgstab(A,b,tol,maxit)",no
bicgstab,function,sparfun,no,3,"x = bicgstab(A,b,tol,maxit,M)",no
bicgstab,function,sparfun,no,4,"x = bicgstab(A,b,tol,maxit,M1,M2)",no
bicgstab,function,sparfun,no,5,"x = bicgstab(A,b,tol,maxit,M1,M2,x0)",no
bicgstab,function,sparfun,no,6,"[x,flag] = bicgstab(___)",no
bicgstab,function,sparfun,no,7,"[x,flag,relres] = bicgstab(___)",no
bicgstab,function,sparfun,no,8,"[x,flag,relres,iter] = bicgstab(___)",no
bicgstab,function,sparfun,no,9,"[x,flag,relres,iter,resvec] = bicgstab(___)",no
bicgstabl,function,sparfun,no,0,"x = bicgstabl(A,b)",no
bicgstabl,function,sparfun,no,1,"x = bicgstabl(A,b,tol)",no
bicgstabl,function,sparfun,no,2,"x = bicgstabl(A,b,tol,maxit)",no
bicgstabl,function,sparfun,no,3,"x = bicgstabl(A,b,tol,maxit,M)",no
bicgstabl,function,sparfun,no,4,"x = bicgstabl(A,b,tol,maxit,M1,M2)",no
bicgstabl,function,sparfun,no,5,"x = bicgstabl(A,b,tol,maxit,M1,M2,x0)",no
bicgstabl,function,sparfun,no,6,"[x,flag] = bicgstabl(___)",no
bicgstabl,function,sparfun,no,7,"[x,flag,relres] = bicgstabl(___)",no
bicgstabl,function,sparfun,no,8,"[x,flag,relres,iter] = bicgstabl(___)",no
bicgstabl,function,sparfun,no,9,"[x,flag,relres,iter,resvec] = bicgstabl(___)",no
bin2dec,builtin,strfun,no,0,D = bin2dec(binStr),no
binscatter,function,specgraph,yes,0,"binscatter(x,y)",no
binscatter,function,specgraph,yes,1,"binscatter(x,y,N)",no
binscatter,function,specgraph,yes,2,"binscatter(___,Name,Value)",yes
binscatter,function,specgraph,yes,3,"binscatter(ax,___)",no
binscatter,function,specgraph,yes,4,h = binscatter(___),no
bitand,builtin,ops,no,0,"C = bitand(A,B)",no
bitand,builtin,ops,no,1,"C = bitand(A,B,assumedtype)",no
bitand,builtin,ops,no,2,"objout = bitand(netobj1,netobj2)",no
bitcmp,builtin,ops,no,0,cmp = bitcmp(A),no
bitcmp,builtin,ops,no,1,"cmp = bitcmp(A,assumedtype)",no
bitget,builtin,ops,no,0,"b = bitget(A,bit)",no
bitget,builtin,ops,no,1,"b = bitget(A,bit,assumedtype)",no
bitnot,function,,no,0,objout = bitnot(netobj),no
bitor,builtin,ops,no,0,"C = bitor(A,B)",no
bitor,builtin,ops,no,1,"C = bitor(A,B,assumedtype)",no
bitor,builtin,ops,no,2,"objout = bitor(netobj1,netobj2)",no
bitset,builtin,ops,no,0,"intout = bitset(A,bit)",no
bitset,builtin,ops,no,1,"intout = bitset(A,bit,assumedtype)",no
bitset,builtin,ops,no,2,"intout = bitset(A,bit,V)",no
bitset,builtin,ops,no,3,"intout = bitset(A,bit,V,assumedtype)",no
bitshift,builtin,ops,no,0,"intout = bitshift(A,k)",no
bitshift,builtin,ops,no,1,"intout = bitshift(A,k,assumedtype)",no
bitxor,builtin,ops,no,0,"C = bitxor(A,B)",no
bitxor,builtin,ops,no,1,"C = bitxor(A,B,assumedtype)",no
bitxor,builtin,ops,no,2,"objout = bitxor(netobj1,netobj2)",no
blanks,function,strfun,no,0,chr = blanks(n),no
blelist,function,blelib,no,0,list = blelist,no
blelist,function,blelib,no,1,"list = blelist(Name,Value)",yes
blkdiag,function,elmat,no,0,"B = blkdiag(A1,...,AN)",no
bluetoothlist,function,bluetooth,no,0,devlist = bluetoothlist,no
bluetoothlist,function,bluetooth,no,1,"devlist = bluetoothlist(""Timeout"",time)",no
bone,function,color,yes,0,c = bone,no
bone,function,color,yes,1,c = bone(m),no
boundary,function,polyfun,no,0,"k = boundary(x,y)",no
boundary,function,polyfun,no,1,"k = boundary(x,y,z)",no
boundary,function,polyfun,no,2,k = boundary(P),no
boundary,function,polyfun,no,3,"k = boundary(___,s)",no
boundary,function,polyfun,no,4,"[k,v] = boundary(___)",no
boundaryshape,function,polyfun,no,0,polyout = boundaryshape(TR),no
boundaryshape,function,polyfun,no,1,"[polyout,vertexID] = boundaryshape(TR)",no
bounds,function,datafun,no,0,"[minA,maxA] = bounds(A)",no
bounds,function,datafun,no,1,"[minA,maxA] = bounds(A,'all')",no
bounds,function,datafun,no,2,"[minA,maxA] = bounds(A,dim)",no
bounds,function,datafun,no,3,"[minA,maxA] = bounds(A,vecdim)",no
bounds,function,datafun,no,4,"[minA,maxA] = bounds(___,nanflag)",no
box,function,graph2d,yes,0,box on,no
box,function,graph2d,yes,1,box off,no
box,function,graph2d,yes,2,box,no
box,function,graph2d,yes,3,"box(ax,___)",no
boxchart,function,specgraph,yes,0,boxchart(ydata),no
boxchart,function,specgraph,yes,1,"boxchart(xgroupdata,ydata)",no
boxchart,function,specgraph,yes,2,"boxchart(___,'GroupByColor',cgroupdata)",no
boxchart,function,specgraph,yes,3,"boxchart(___,Name,Value)",yes
boxchart,function,specgraph,yes,4,"boxchart(ax,___)",no
boxchart,function,specgraph,yes,5,b = boxchart(___),no
break,keyword,lang,no,0,break,no
brighten,function,graph3d,yes,0,brighten(beta),no
brighten,function,graph3d,yes,1,"brighten(map,beta)",no
brighten,function,graph3d,yes,2,newmap = brighten(___),no
brighten,function,graph3d,yes,3,"brighten(f,beta)",no
bsxfun,builtin,elmat,no,0,"C = bsxfun(fun,A,B)",no
bubblechart,function,graphics,yes,0,"bubblechart(x,y,sz)",no
bubblechart,function,graphics,yes,1,"bubblechart(x,y,sz,c)",no
bubblechart,function,graphics,yes,2,"bubblechart(tbl,xvar,yvar,sizevar)",no
bubblechart,function,graphics,yes,3,"bubblechart(tbl,xvar,yvar,sizevar,cvar)",no
bubblechart,function,graphics,yes,4,"bubblechart(ax,___)",no
bubblechart,function,graphics,yes,5,"bubblechart(___,Name,Value)",yes
bubblechart,function,graphics,yes,6,bc = bubblechart(___),no
bubblechart3,function,graphics,yes,0,"bubblechart3(x,y,z,sz)",no
bubblechart3,function,graphics,yes,1,"bubblechart3(x,y,z,sz,c)",no
bubblechart3,function,graphics,yes,2,"bubblechart3(tbl,xvar,yvar,zvar,sizevar)",no
bubblechart3,function,graphics,yes,3,"bubblechart3(tbl,xvar,yvar,zvar,sizevar,cvar)",no
bubblechart3,function,graphics,yes,4,"bubblechart3(ax,___)",no
bubblechart3,function,graphics,yes,5,"bubblechart3(___,Name,Value)",yes
bubblechart3,function,graphics,yes,6,bc = bubblechart3(___),no
bubblecloud,function,graphics,yes,0,"bubblecloud(tbl,szvar)",no
bubblecloud,function,graphics,yes,1,"bubblecloud(tbl,szvar,labelvar)",no
bubblecloud,function,graphics,yes,2,"bubblecloud(tbl,szvar,labelvar,groupvar)",no
bubblecloud,function,graphics,yes,3,bubblecloud(sz),no
bubblecloud,function,graphics,yes,4,"bubblecloud(sz,labels)",no
bubblecloud,function,graphics,yes,5,"bubblecloud(sz,labels,groups)",no
bubblecloud,function,graphics,yes,6,"bubblecloud(___,Name,Value)",yes
