class,property,summary
matlab.graphics.chart.primitive.Histogram,BinWidth,Width of bins
matlab.graphics.chart.primitive.Histogram,BusyAction,Callback queuing
matlab.graphics.chart.primitive.Histogram,ButtonDownFcn,Mouse-click callback
matlab.graphics.chart.primitive.Histogram,Categories,Categories included in histogram
matlab.graphics.chart.primitive.Histogram,Children,Children
matlab.graphics.chart.primitive.Histogram,ContextMenu,Context menu
matlab.graphics.chart.primitive.Histogram,CreateFcn,Creation function
matlab.graphics.chart.primitive.Histogram,Data,Data to distribute among bins
matlab.graphics.chart.primitive.Histogram,DataTipTemplate,Data tip content
matlab.graphics.chart.primitive.Histogram,DeleteFcn,Deletion function
matlab.graphics.chart.primitive.Histogram,DisplayName,Text used by legend
matlab.graphics.chart.primitive.Histogram,DisplayOrder,Category display order
matlab.graphics.chart.primitive.Histogram,DisplayStyle,Histogram display style
matlab.graphics.chart.primitive.Histogram,EdgeAlpha,Transparency of histogram bar edges
matlab.graphics.chart.primitive.Histogram,EdgeColor,Histogram edge color
matlab.graphics.chart.primitive.Histogram,FaceAlpha,Transparency of histogram bars
matlab.graphics.chart.primitive.Histogram,FaceColor,Histogram bar color
matlab.graphics.chart.primitive.Histogram,HandleVisibility,Visibility of object handle
matlab.graphics.chart.primitive.Histogram,HitTest,Response to captured mouse clicks
matlab.graphics.chart.primitive.Histogram,Interruptible,Callback interruption
matlab.graphics.chart.primitive.Histogram,LineStyle,Line style
matlab.graphics.chart.primitive.Histogram,LineWidth,Width of bar outlines
matlab.graphics.chart.primitive.Histogram,Normalization,Type of normalization
matlab.graphics.chart.primitive.Histogram,NumBins,Number of bins
matlab.graphics.chart.primitive.Histogram,NumDisplayBins,Number of categories to display
matlab.graphics.chart.primitive.Histogram,Orientation,Orientation of bars
matlab.graphics.chart.primitive.Histogram,Parent,Parent
matlab.graphics.chart.primitive.Histogram,PickableParts,Ability to capture mouse clicks
matlab.graphics.chart.primitive.Histogram,Selected,Selection state
matlab.graphics.chart.primitive.Histogram,SelectionHighlight,Display of selection handles
matlab.graphics.chart.primitive.Histogram,SeriesIndex,Series index
matlab.graphics.chart.primitive.Histogram,ShowOthers,Toggle summary display of data belonging to undisplayed categories
matlab.graphics.chart.primitive.Histogram,Tag,Object identifier
matlab.graphics.chart.primitive.Histogram,Type,Type of graphics object
matlab.graphics.chart.primitive.Histogram,UserData,User data
matlab.graphics.chart.primitive.Histogram,Values,Bin values
matlab.graphics.chart.primitive.Histogram,Visible,State of visibility
matlab.graphics.chart.primitive.Histogram2,Annotation,Control for including or excluding object from legend
matlab.graphics.chart.primitive.Histogram2,BeingDeleted,Deletion status
matlab.graphics.chart.primitive.Histogram2,BinCounts,Bin counts
matlab.graphics.chart.primitive.Histogram2,BinCountsMode,Selection mode for bin counts
matlab.graphics.chart.primitive.Histogram2,BinMethod,Binning algorithm
matlab.graphics.chart.primitive.Histogram2,BinWidth,Width of bins in each dimension
matlab.graphics.chart.primitive.Histogram2,BusyAction,Callback queuing
matlab.graphics.chart.primitive.Histogram2,ButtonDownFcn,Mouse-click callback
matlab.graphics.chart.primitive.Histogram2,Children,Children
matlab.graphics.chart.primitive.Histogram2,ContextMenu,Context menu
matlab.graphics.chart.primitive.Histogram2,CreateFcn,Creation function
matlab.graphics.chart.primitive.Histogram2,Data,Data to distribute among bins
matlab.graphics.chart.primitive.Histogram2,DataTipTemplate,Data tip content
matlab.graphics.chart.primitive.Histogram2,DeleteFcn,Deletion function
matlab.graphics.chart.primitive.Histogram2,DisplayName,Text used by legend
matlab.graphics.chart.primitive.Histogram2,DisplayStyle,Histogram display style
matlab.graphics.chart.primitive.Histogram2,EdgeAlpha,Transparency of histogram bar edges
matlab.graphics.chart.primitive.Histogram2,EdgeColor,Histogram edge color
matlab.graphics.chart.primitive.Histogram2,FaceAlpha,Transparency of histogram bars
matlab.graphics.chart.primitive.Histogram2,FaceColor,Histogram bar color
matlab.graphics.chart.primitive.Histogram2,FaceLighting,Lighting effect on histogram bars
matlab.graphics.chart.primitive.Histogram2,HandleVisibility,Visibility of object handle
matlab.graphics.chart.primitive.Histogram2,HitTest,Response to captured mouse clicks
matlab.graphics.chart.primitive.Histogram2,Interruptible,Callback interruption
matlab.graphics.chart.primitive.Histogram2,LineStyle,Line style
matlab.graphics.chart.primitive.Histogram2,LineWidth,Width of bar outlines
matlab.graphics.chart.primitive.Histogram2,Normalization,Type of normalization
matlab.graphics.chart.primitive.Histogram2,NumBins,Number of bins in each dimension
matlab.graphics.chart.primitive.Histogram2,Parent,Parent
matlab.graphics.chart.primitive.Histogram2,PickableParts,Ability to capture mouse clicks
matlab.graphics.chart.primitive.Histogram2,Selected,Selection state
matlab.graphics.chart.primitive.Histogram2,SelectionHighlight,Display of selection handles
matlab.graphics.chart.primitive.Histogram2,SeriesIndex,Series index
matlab.graphics.chart.primitive.Histogram2,ShowEmptyBins,Toggle display of empty bins
matlab.graphics.chart.primitive.Histogram2,Tag,Object identifier
matlab.graphics.chart.primitive.Histogram2,Type,Type of graphics object
matlab.graphics.chart.primitive.Histogram2,UserData,User data
matlab.graphics.chart.primitive.Histogram2,Values,Bin values
matlab.graphics.chart.primitive.Histogram2,Visible,State of visibility
matlab.graphics.chart.primitive.Histogram2,XBinEdges,Bin edges in x-dimension
matlab.graphics.chart.primitive.Histogram2,XBinLimits,Bin limits in x-dimension
matlab.graphics.chart.primitive.Histogram2,XBinLimitsMode,Selection mode for bin limits in x-dimension
matlab.graphics.chart.primitive.Histogram2,YBinEdges,Bin edges in y-dimension
matlab.graphics.chart.primitive.Histogram2,YBinLimits,Bin limits in y-dimension
matlab.graphics.chart.primitive.Histogram2,YBinLimitsMode,Selection mode for bin limits in y-dimension
matlab.graphics.chart.primitive.Line,AlignVertexCenters,Sharp vertical and horizontal lines
matlab.graphics.chart.primitive.Line,Annotation,Control for including or excluding object from legend
matlab.graphics.chart.primitive.Line,BeingDeleted,Deletion status
matlab.graphics.chart.primitive.Line,BusyAction,Callback queuing
matlab.graphics.chart.primitive.Line,ButtonDownFcn,Mouse-click callback
matlab.graphics.chart.primitive.Line,Children,Children
matlab.graphics.chart.primitive.Line,Clipping,Clipping of object to axes limits
matlab.graphics.chart.primitive.Line,Color,Line color
matlab.graphics.chart.primitive.Line,ColorMode,Control how Color is set
matlab.graphics.chart.primitive.Line,ContextMenu,Context menu
matlab.graphics.chart.primitive.Line,CreateFcn,Creation function
matlab.graphics.chart.primitive.Line,DataTipTemplate,Data tip content
matlab.graphics.chart.primitive.Line,DeleteFcn,Deletion function
matlab.graphics.chart.primitive.Line,DisplayName,Legend label
matlab.graphics.chart.primitive.Line,HandleVisibility,Visibility of object handle
matlab.graphics.chart.primitive.Line,HitTest,Response to captured mouse clicks
matlab.graphics.chart.primitive.Line,Interruptible,Callback interruption
matlab.graphics.chart.primitive.Line,LatitudeData,Latitude values
matlab.graphics.chart.primitive.Line,LatitudeDataSource,Variable linked to LatitudeData
matlab.graphics.chart.primitive.Line,LineJoin,Style of line corners
matlab.graphics.chart.primitive.Line,LineStyle,Line style
matlab.graphics.chart.primitive.Line,LineStyleMode,Control how LineStyle is set
matlab.graphics.chart.primitive.Line,LineWidth,Line width
matlab.graphics.chart.primitive.Line,LongitudeData,Longitude values
matlab.graphics.chart.primitive.Line,LongitudeDataSource,Variable linked to LongitudeData
matlab.graphics.chart.primitive.Line,Marker,Marker symbol
matlab.graphics.chart.primitive.Line,MarkerEdgeColor,Marker outline color
matlab.graphics.chart.primitive.Line,MarkerFaceColor,Marker fill color
matlab.graphics.chart.primitive.Line,MarkerIndices,Indices of data points at which to display markers
matlab.graphics.chart.primitive.Line,MarkerMode,Control how Marker is set
matlab.graphics.chart.primitive.Line,MarkerSize,Marker size
matlab.graphics.chart.primitive.Line,Parent,Parent
matlab.graphics.chart.primitive.Line,PickableParts,Ability to capture mouse clicks
matlab.graphics.chart.primitive.Line,RData,Radius values
matlab.graphics.chart.primitive.Line,RDataSource,Variable linked to RData
matlab.graphics.chart.primitive.Line,Selected,Selection state
matlab.graphics.chart.primitive.Line,SelectionHighlight,Display of selection handles
matlab.graphics.chart.primitive.Line,SeriesIndex,Series index
matlab.graphics.chart.primitive.Line,Tag,Object identifier
matlab.graphics.chart.primitive.Line,ThetaData,Angle values
matlab.graphics.chart.primitive.Line,ThetaDataMode,Selection mode for ThetaData
matlab.graphics.chart.primitive.Line,ThetaDataSource,Variable linked to ThetaData
matlab.graphics.chart.primitive.Line,Type,Type of graphics object
matlab.graphics.chart.primitive.Line,UserData,User data
matlab.graphics.chart.primitive.Line,Visible,State of visibility
matlab.graphics.chart.primitive.Line,XData,x values
matlab.graphics.chart.primitive.Line,XDataMode,Selection mode for XData
matlab.graphics.chart.primitive.Line,XDataSource,Variable linked to XData
matlab.graphics.chart.primitive.Line,YData,y values
matlab.graphics.chart.primitive.Line,YDataSource,Variable linked to YData
matlab.graphics.chart.primitive.Line,ZData,z values
matlab.graphics.chart.primitive.Line,ZDataSource,Variable linked to ZData
matlab.graphics.chart.primitive.Quiver,AlignVertexCenters,Sharp vertical and horizontal lines
matlab.graphics.chart.primitive.Quiver,Annotation,Control for including or excluding object from legend
matlab.graphics.chart.primitive.Quiver,AutoScale,Automatic scaling of arrow length
matlab.graphics.chart.primitive.Quiver,AutoScaleFactor,Scale factor
matlab.graphics.chart.primitive.Quiver,BeingDeleted,Deletion status
matlab.graphics.chart.primitive.Quiver,BusyAction,Callback queuing
matlab.graphics.chart.primitive.Quiver,ButtonDownFcn,Mouse-click callback
matlab.graphics.chart.primitive.Quiver,Children,Children
matlab.graphics.chart.primitive.Quiver,Clipping,Clipping of object to axes limits
matlab.graphics.chart.primitive.Quiver,Color,Arrow color
matlab.graphics.chart.primitive.Quiver,ColorMode,Control how Color is set
matlab.graphics.chart.primitive.Quiver,ContextMenu,Context menu
matlab.graphics.chart.primitive.Quiver,CreateFcn,Creation function
matlab.graphics.chart.primitive.Quiver,DataTipTemplate,Data tip content
matlab.graphics.chart.primitive.Quiver,DeleteFcn,Deletion function
matlab.graphics.chart.primitive.Quiver,DisplayName,Legend label
matlab.graphics.chart.primitive.Quiver,HandleVisibility,Visibility of object handle
matlab.graphics.chart.primitive.Quiver,HitTest,Response to captured mouse clicks
matlab.graphics.chart.primitive.Quiver,Interruptible,Callback interruption
matlab.graphics.chart.primitive.Quiver,LineStyle,Style of arrow stem
matlab.graphics.chart.primitive.Quiver,LineStyleMode,Control how LineStyle is set
matlab.graphics.chart.primitive.Quiver,LineWidth,Width of arrow stem and head
matlab.graphics.chart.primitive.Quiver,Marker,Marker symbol
matlab.graphics.chart.primitive.Quiver,MarkerEdgeColor,Marker outline color
matlab.graphics.chart.primitive.Quiver,MarkerFaceColor,Marker fill color
matlab.graphics.chart.primitive.Quiver,MarkerMode,Control how Marker is set
matlab.graphics.chart.primitive.Quiver,MarkerSize,Marker size
matlab.graphics.chart.primitive.Quiver,MaxHeadSize,Maximum size of arrowhead
matlab.graphics.chart.primitive.Quiver,Parent,Parent
matlab.graphics.chart.primitive.Quiver,PickableParts,Ability to capture mouse clicks
matlab.graphics.chart.primitive.Quiver,Selected,Selection state
matlab.graphics.chart.primitive.Quiver,SelectionHighlight,Display of selection handles
matlab.graphics.chart.primitive.Quiver,SeriesIndex,Series index
matlab.graphics.chart.primitive.Quiver,ShowArrowHead,Arrowhead display
matlab.graphics.chart.primitive.Quiver,Tag,Object identifier
matlab.graphics.chart.primitive.Quiver,Type,Type of graphics object
matlab.graphics.chart.primitive.Quiver,UData,Vector lengths in x-direction
matlab.graphics.chart.primitive.Quiver,UDataSource,Variable linked to UData
matlab.graphics.chart.primitive.Quiver,UserData,User data
matlab.graphics.chart.primitive.Quiver,VData,Vector lengths in y-direction
matlab.graphics.chart.primitive.Quiver,VDataSource,Variable linked to VData
matlab.graphics.chart.primitive.Quiver,Visible,State of visibility
matlab.graphics.chart.primitive.Quiver,WData,Vector lengths in z-direction
matlab.graphics.chart.primitive.Quiver,WDataSource,Variable linked to WData
matlab.graphics.chart.primitive.Quiver,XData,x-coordinates
matlab.graphics.chart.primitive.Quiver,XDataMode,Selection mode for XData
matlab.graphics.chart.primitive.Quiver,XDataSource,Variable linked to XData
matlab.graphics.chart.primitive.Quiver,YData,y-coordinates
matlab.graphics.chart.primitive.Quiver,YDataMode,Selection mode for YData
matlab.graphics.chart.primitive.Quiver,YDataSource,Variable linked to YData
matlab.graphics.chart.primitive.Quiver,ZData,z-coordinates
matlab.graphics.chart.primitive.Quiver,ZDataSource,Variable linked to ZData
matlab.graphics.chart.primitive.Scatter,AlphaData,Marker face transparency
matlab.graphics.chart.primitive.Scatter,AlphaDataMapping,Interpretation of AlphaData values
matlab.graphics.chart.primitive.Scatter,AlphaDataMode,Control how AlphaData is set
matlab.graphics.chart.primitive.Scatter,AlphaVariable,Table variable containing marker transparency data
matlab.graphics.chart.primitive.Scatter,Annotation,Control for including or excluding object from legend
matlab.graphics.chart.primitive.Scatter,BeingDeleted,Deletion status
matlab.graphics.chart.primitive.Scatter,BusyAction,Callback queuing
matlab.graphics.chart.primitive.Scatter,ButtonDownFcn,Mouse-click callback
matlab.graphics.chart.primitive.Scatter,CData,Marker colors
matlab.graphics.chart.primitive.Scatter,CDataMode,Control how CData is set
matlab.graphics.chart.primitive.Scatter,CDataSource,Variable linked to CData
matlab.graphics.chart.primitive.Scatter,Children,Children
matlab.graphics.chart.primitive.Scatter,Clipping,Clipping of object to axes limits
matlab.graphics.chart.primitive.Scatter,ColorVariable,Table variable containing color data
matlab.graphics.chart.primitive.Scatter,ContextMenu,Context menu
matlab.graphics.chart.primitive.Scatter,CreateFcn,Creation function
matlab.graphics.chart.primitive.Scatter,DataTipTemplate,Data tip content
matlab.graphics.chart.primitive.Scatter,DeleteFcn,Deletion function
matlab.graphics.chart.primitive.Scatter,DisplayName,Legend label
matlab.graphics.chart.primitive.Scatter,HandleVisibility,Visibility of object handle
matlab.graphics.chart.primitive.Scatter,HitTest,Response to captured mouse clicks
matlab.graphics.chart.primitive.Scatter,Interruptible,Callback interruption
matlab.graphics.chart.primitive.Scatter,LatitudeData,Latitude values
matlab.graphics.chart.primitive.Scatter,LatitudeDataSource,Variable linked to LatitudeData
matlab.graphics.chart.primitive.Scatter,LatitudeVariable,Table variable containing latitude values
matlab.graphics.chart.primitive.Scatter,LineWidth,Width of marker edge
matlab.graphics.chart.primitive.Scatter,LongitudeData,Longitude values
matlab.graphics.chart.primitive.Scatter,LongitudeDataSource,Variable linked to LongitudeData
matlab.graphics.chart.primitive.Scatter,LongitudeVariable,Table variable containing longitude values
matlab.graphics.chart.primitive.Scatter,Marker,Marker symbol
matlab.graphics.chart.primitive.Scatter,MarkerEdgeAlpha,Marker edge transparency
matlab.graphics.chart.primitive.Scatter,MarkerEdgeColor,Marker outline color
matlab.graphics.chart.primitive.Scatter,MarkerFaceAlpha,Marker face transparency
matlab.graphics.chart.primitive.Scatter,MarkerFaceColor,Marker fill color
matlab.graphics.chart.primitive.Scatter,Parent,Parent
matlab.graphics.chart.primitive.Scatter,PickableParts,Ability to capture mouse clicks
matlab.graphics.chart.primitive.Scatter,RData,Radius values
matlab.graphics.chart.primitive.Scatter,RDataMode,Control how RData is set
matlab.graphics.chart.primitive.Scatter,RDataSource,Variable linked to RData
matlab.graphics.chart.primitive.Scatter,RVariable,Table variable containing radius values
matlab.graphics.chart.primitive.Scatter,Selected,Selection state
matlab.graphics.chart.primitive.Scatter,SelectionHighlight,Display of selection handles
matlab.graphics.chart.primitive.Scatter,SeriesIndex,Series index
matlab.graphics.chart.primitive.Scatter,SizeData,Marker sizes
matlab.graphics.chart.primitive.Scatter,SizeDataMode,Control how SizeData is set
matlab.graphics.chart.primitive.Scatter,SizeDataSource,Variable linked to SizeData
matlab.graphics.chart.primitive.Scatter,SizeVariable,Table variable containing marker size data
matlab.graphics.chart.primitive.Scatter,SourceTable,Source table
matlab.graphics.chart.primitive.Scatter,Tag,Object identifier
matlab.graphics.chart.primitive.Scatter,ThetaData,Angle values
matlab.graphics.chart.primitive.Scatter,ThetaDataMode,Control how ThetaData is set
matlab.graphics.chart.primitive.Scatter,ThetaDataSource,Variable linked to ThetaData
matlab.graphics.chart.primitive.Scatter,ThetaVariable,Table variable containing angle values
matlab.graphics.chart.primitive.Scatter,Type,Type of graphics object
matlab.graphics.chart.primitive.Scatter,UserData,User data
matlab.graphics.chart.primitive.Scatter,Visible,State of visibility
matlab.graphics.chart.primitive.Scatter,XData,x values
matlab.graphics.chart.primitive.Scatter,XDataMode,Control how XData is set
matlab.graphics.chart.primitive.Scatter,XDataSource,Variable linked to XData
matlab.graphics.chart.primitive.Scatter,XJitter,Jitter type for x-dimension
matlab.graphics.chart.primitive.Scatter,XJitterWidth,Maximum jitter along x-dimension
matlab.graphics.chart.primitive.Scatter,XVariable,Table variable containing x-coordinates
matlab.graphics.chart.primitive.Scatter,YData,y values
matlab.graphics.chart.primitive.Scatter,YDataMode,Control how YData is set
matlab.graphics.chart.primitive.Scatter,YDataSource,Variable linked to YData
matlab.graphics.chart.primitive.Scatter,YJitter,Jitter type for y-dimension
matlab.graphics.chart.primitive.Scatter,YJitterWidth,Maximum jitter along y-dimension
matlab.graphics.chart.primitive.Scatter,YVariable,Table variable containing y-coordinates
matlab.graphics.chart.primitive.Scatter,ZData,z values
matlab.graphics.chart.primitive.Scatter,ZDataMode,Control how ZData is set
matlab.graphics.chart.primitive.Scatter,ZDataSource,Variable linked to ZData
matlab.graphics.chart.primitive.Scatter,ZJitter,Jitter type for z-dimension
matlab.graphics.chart.primitive.Scatter,ZJitterWidth,Maximum jitter along z-dimension
matlab.graphics.chart.primitive.Scatter,ZVariable,Table variable containing z-coordinates
matlab.graphics.chart.primitive.Stair,Annotation,Control for including or excluding object from legend
matlab.graphics.chart.primitive.Stair,BeingDeleted,Deletion status
matlab.graphics.chart.primitive.Stair,BusyAction,Callback queuing
matlab.graphics.chart.primitive.Stair,ButtonDownFcn,Mouse-click callback
matlab.graphics.chart.primitive.Stair,Children,Children
matlab.graphics.chart.primitive.Stair,Clipping,Clipping of object to axes limits
matlab.graphics.chart.primitive.Stair,Color,Line color
matlab.graphics.chart.primitive.Stair,ColorMode,Control how Color is set
matlab.graphics.chart.primitive.Stair,ContextMenu,Context menu
matlab.graphics.chart.primitive.Stair,CreateFcn,Creation function
matlab.graphics.chart.primitive.Stair,DataTipTemplate,Data tip content
matlab.graphics.chart.primitive.Stair,DeleteFcn,Deletion function
matlab.graphics.chart.primitive.Stair,DisplayName,Legend label
matlab.graphics.chart.primitive.Stair,HandleVisibility,Visibility of object handle
matlab.graphics.chart.primitive.Stair,HitTest,Response to captured mouse clicks
matlab.graphics.chart.primitive.Stair,Interruptible,Callback interruption
matlab.graphics.chart.primitive.Stair,LineStyle,Line style
matlab.graphics.chart.primitive.Stair,LineStyleMode,Control how LineStyle is set
matlab.graphics.chart.primitive.Stair,LineWidth,Line width
matlab.graphics.chart.primitive.Stair,Marker,Marker symbol
matlab.graphics.chart.primitive.Stair,MarkerEdgeColor,Marker outline color
matlab.graphics.chart.primitive.Stair,MarkerFaceColor,Marker fill color
matlab.graphics.chart.primitive.Stair,MarkerMode,Control how Marker is set
matlab.graphics.chart.primitive.Stair,MarkerSize,Marker size
matlab.graphics.chart.primitive.Stair,Parent,Parent
matlab.graphics.chart.primitive.Stair,PickableParts,Ability to capture mouse clicks
matlab.graphics.chart.primitive.Stair,Selected,Selection state
matlab.graphics.chart.primitive.Stair,SelectionHighlight,Display of selection handles
matlab.graphics.chart.primitive.Stair,SeriesIndex,Series index
matlab.graphics.chart.primitive.Stair,Tag,Object identifier
matlab.graphics.chart.primitive.Stair,Type,Type of graphics object
matlab.graphics.chart.primitive.Stair,UserData,User data
matlab.graphics.chart.primitive.Stair,Visible,State of visibility
matlab.graphics.chart.primitive.Stair,XData,x values
matlab.graphics.chart.primitive.Stair,XDataMode,Selection mode for XData
matlab.graphics.chart.primitive.Stair,XDataSource,Variable linked to XData
matlab.graphics.chart.primitive.Stair,YData,y values
matlab.graphics.chart.primitive.Stair,YDataSource,Variable linked to YData
matlab.graphics.chart.primitive.Stem,Annotation,Control for including or excluding object from legend
matlab.graphics.chart.primitive.Stem,BaseLine,Baseline
matlab.graphics.chart.primitive.Stem,BaseValue,Baseline value
matlab.graphics.chart.primitive.Stem,BeingDeleted,Deletion status
matlab.graphics.chart.primitive.Stem,BusyAction,Callback queuing
matlab.graphics.chart.primitive.Stem,ButtonDownFcn,Mouse-click callback
matlab.graphics.chart.primitive.Stem,Children,Children
matlab.graphics.chart.primitive.Stem,Clipping,Clipping of object to axes limits
matlab.graphics.chart.primitive.Stem,Color,Stem color
matlab.graphics.chart.primitive.Stem,ColorMode,Control how Color is set
matlab.graphics.chart.primitive.Stem,ContextMenu,Context menu
matlab.graphics.chart.primitive.Stem,CreateFcn,Creation function
matlab.graphics.chart.primitive.Stem,DataTipTemplate,Data tip content
matlab.graphics.chart.primitive.Stem,DeleteFcn,Deletion function
matlab.graphics.chart.primitive.Stem,DisplayName,Legend label
matlab.graphics.chart.primitive.Stem,HandleVisibility,Visibility of object handle
matlab.graphics.chart.primitive.Stem,HitTest,Response to captured mouse clicks
matlab.graphics.chart.primitive.Stem,Interruptible,Callback interruption
matlab.graphics.chart.primitive.Stem,LineStyle,Stem line style
matlab.graphics.chart.primitive.Stem,LineStyleMode,Control how LineStyle is set
matlab.graphics.chart.primitive.Stem,LineWidth,Line width of stem and marker edge
matlab.graphics.chart.primitive.Stem,Marker,Marker symbol
matlab.graphics.chart.primitive.Stem,MarkerEdgeColor,Marker outline color
matlab.graphics.chart.primitive.Stem,MarkerFaceColor,Marker fill color
matlab.graphics.chart.primitive.Stem,MarkerMode,Control how Marker is set
matlab.graphics.chart.primitive.Stem,MarkerSize,Marker size
matlab.graphics.chart.primitive.Stem,Parent,Parent
matlab.graphics.chart.primitive.Stem,PickableParts,Ability to capture mouse clicks
matlab.graphics.chart.primitive.Stem,Selected,Selection state
matlab.graphics.chart.primitive.Stem,SelectionHighlight,Display of selection handles
matlab.graphics.chart.primitive.Stem,SeriesIndex,Series index
matlab.graphics.chart.primitive.Stem,ShowBaseLine,Baseline visibility
matlab.graphics.chart.primitive.Stem,Tag,Object identifier
matlab.graphics.chart.primitive.Stem,Type,Type of graphics object
matlab.graphics.chart.primitive.Stem,UserData,User data
matlab.graphics.chart.primitive.Stem,Visible,State of visibility
matlab.graphics.chart.primitive.Stem,XData,Values along x-axis
matlab.graphics.chart.primitive.Stem,XDataMode,Selection mode for XData
matlab.graphics.chart.primitive.Stem,XDataSource,Variable linked to XData
matlab.graphics.chart.primitive.Stem,YData,Values along y-axis
matlab.graphics.chart.primitive.Stem,YDataSource,Variable linked to YData
matlab.graphics.chart.primitive.Stem,ZData,Values along z-axis
matlab.graphics.chart.primitive.Stem,ZDataSource,Variable linked to ZData
matlab.graphics.chart.primitive.Surface,AlignVertexCenters,Sharp vertical and horizontal lines
matlab.graphics.chart.primitive.Surface,AlphaData,Transparency data
matlab.graphics.chart.primitive.Surface,AlphaDataMapping,Interpretation of AlphaData values
matlab.graphics.chart.primitive.Surface,AmbientStrength,Strength of ambient light
matlab.graphics.chart.primitive.Surface,Annotation,Control for including or excluding object from legend
matlab.graphics.chart.primitive.Surface,BackFaceLighting,Face lighting when normals point away from camera
matlab.graphics.chart.primitive.Surface,BeingDeleted,Deletion status
matlab.graphics.chart.primitive.Surface,BusyAction,Callback queuing
matlab.graphics.chart.primitive.Surface,ButtonDownFcn,Mouse-click callback
matlab.graphics.chart.primitive.Surface,CData,Vertex colors
matlab.graphics.chart.primitive.Surface,CDataMapping,Color mapping method
matlab.graphics.chart.primitive.Surface,CDataMode,Selection mode for CData
matlab.graphics.chart.primitive.Surface,CDataSource,Variable linked to CData
matlab.graphics.chart.primitive.Surface,Children,Children
matlab.graphics.chart.primitive.Surface,Clipping,Clipping of object to axes limits
matlab.graphics.chart.primitive.Surface,ContextMenu,Context menu
matlab.graphics.chart.primitive.Surface,CreateFcn,Creation function
matlab.graphics.chart.primitive.Surface,DataTipTemplate,Data tip content
matlab.graphics.chart.primitive.Surface,DeleteFcn,Deletion function
matlab.graphics.chart.primitive.Surface,DiffuseStrength,Strength of diffuse light
matlab.graphics.chart.primitive.Surface,DisplayName,Legend label
matlab.graphics.chart.primitive.Surface,EdgeAlpha,Edge transparency
matlab.graphics.chart.primitive.Surface,EdgeColor,Edge line color
matlab.graphics.chart.primitive.Surface,EdgeLighting,Effect of light objects on edges
matlab.graphics.chart.primitive.Surface,FaceAlpha,Face transparency
matlab.graphics.chart.primitive.Surface,FaceColor,Face color
matlab.graphics.chart.primitive.Surface,FaceLighting,Effect of light objects on faces
matlab.graphics.chart.primitive.Surface,FaceNormals,Normal vectors for each surface face
matlab.graphics.chart.primitive.Surface,FaceNormalsMode,Selection mode for FaceNormals
matlab.graphics.chart.primitive.Surface,HandleVisibility,Visibility of object handle
matlab.graphics.chart.primitive.Surface,HitTest,Response to captured mouse clicks
matlab.graphics.chart.primitive.Surface,Interruptible,Callback interruption
matlab.graphics.chart.primitive.Surface,LineStyle,Line style
matlab.graphics.chart.primitive.Surface,LineWidth,Line width
matlab.graphics.chart.primitive.Surface,Marker,Marker symbol
matlab.graphics.chart.primitive.Surface,MarkerEdgeColor,Marker outline color
matlab.graphics.chart.primitive.Surface,MarkerFaceColor,Marker fill color
matlab.graphics.chart.primitive.Surface,MarkerSize,Marker size
matlab.graphics.chart.primitive.Surface,MeshStyle,Edges to display
matlab.graphics.chart.primitive.Surface,Parent,Parent
matlab.graphics.chart.primitive.Surface,PickableParts,Ability to capture mouse clicks
matlab.graphics.chart.primitive.Surface,Selected,Selection state
matlab.graphics.chart.primitive.Surface,SelectionHighlight,Display of selection handles
matlab.graphics.chart.primitive.Surface,SpecularColorReflectance,Color of specular reflections
matlab.graphics.chart.primitive.Surface,SpecularExponent,Size of specular spot
matlab.graphics.chart.primitive.Surface,SpecularStrength,Strength of specular reflection
matlab.graphics.chart.primitive.Surface,Tag,Object identifier
matlab.graphics.chart.primitive.Surface,Type,Type of graphics object
matlab.graphics.chart.primitive.Surface,UserData,User data
matlab.graphics.chart.primitive.Surface,VertexNormals,Normal vectors for each surface vertex
matlab.graphics.chart.primitive.Surface,VertexNormalsMode,Selection mode for VertexNormals
matlab.graphics.chart.primitive.Surface,Visible,State of visibility
matlab.graphics.chart.primitive.Surface,XData,x-coordinate data
matlab.graphics.chart.primitive.Surface,XDataMode,Selection mode for XData
matlab.graphics.chart.primitive.Surface,XDataSource,Variable linked to XData
matlab.graphics.chart.primitive.Surface,YData,y-coordinate data
matlab.graphics.chart.primitive.Surface,YDataMode,Selection mode for YData
matlab.graphics.chart.primitive.Surface,YDataSource,Variable linked to YData
matlab.graphics.chart.primitive.Surface,ZData,z-coordinate data
matlab.graphics.chart.primitive.Surface,ZDataSource,Variable linked to ZData
matlab.graphics.chartcontainer.ChartContainer,HandleVisibility,Visibility of object handle
matlab.graphics.chartcontainer.ChartContainer,InnerPosition,"Chart size and location, excluding margins"
matlab.graphics.chartcontainer.ChartContainer,Layout,Layout options
matlab.graphics.chartcontainer.ChartContainer,OuterPosition,"Chart size and location, including margins"
matlab.graphics.chartcontainer.ChartContainer,Parent,Parent container
matlab.graphics.chartcontainer.ChartContainer,Position,"Chart size and location, excluding margins"
matlab.graphics.chartcontainer.ChartContainer,PositionConstraint,Position to hold constant
matlab.graphics.chartcontainer.ChartContainer,Units,Position units
matlab.graphics.chartcontainer.ChartContainer,Visible,State of visibility
matlab.graphics.chartcontainer.mixin.Colorbar,ColorbarVisible,Colorbar visibility
matlab.graphics.chartcontainer.mixin.Legend,LegendVisible,Legend visibility
