name,folder,form_index,syntax,verdict,detail
fliplr,elmat,0,B = fliplr(A),accepted,
flipud,elmat,0,B = flipud(A),accepted,
freqspace,elmat,0,"[f1,f2] = freqspace(n)",accepted,
freqspace,elmat,1,"[f1,f2] = freqspace([m n])",accepted,
freqspace,elmat,2,"[x,y] = freqspace(___,'meshgrid')",accepted,
freqspace,elmat,3,f = freqspace(N),accepted,
freqspace,elmat,4,"f = freqspace(N,'whole')",refused,freqspace: unknown option 'whole' (the only one is 'meshgrid').
height,elmat,0,H = height(T),accepted,
hilb,elmat,0,H = hilb(n),accepted,
hilb,elmat,1,"H = hilb(n,classname)",error,"hilb expects 1 argument(s), but got 2."
ind2sub,elmat,0,"[row,col] = ind2sub(sz,ind)",accepted,
ind2sub,elmat,1,"[I1,I2,...,In] = ind2sub(sz,ind)",accepted,
linspace,elmat,0,"y = linspace(x1,x2)",unprobed,no sample for this form's arguments
linspace,elmat,1,"y = linspace(x1,x2,n)",unprobed,no sample for this form's arguments
logspace,elmat,0,"y = logspace(a,b)",accepted,
logspace,elmat,1,"y = logspace(a,b,n)",accepted,
logspace,elmat,2,"y = logspace(a,pi)",unprobed,no sample for this form's arguments
logspace,elmat,3,"y = logspace(a,pi,n)",unprobed,no sample for this form's arguments
magic,elmat,0,M = magic(n),accepted,
meshgrid,elmat,0,"[X,Y] = meshgrid(x,y)",accepted,
meshgrid,elmat,1,"[X,Y] = meshgrid(x)",accepted,
meshgrid,elmat,2,"[X,Y,Z] = meshgrid(x,y,z)",accepted,
meshgrid,elmat,3,"[X,Y,Z] = meshgrid(x)",accepted,
ndgrid,elmat,0,"[X1,X2,...,Xn] = ndgrid(x1,x2,...,xn)",unprobed,no sample for this form's arguments
ndgrid,elmat,1,"[X1,X2,...,Xn] = ndgrid(xg)",accepted,
repmat,elmat,0,"B = repmat(A,n)",accepted,
repmat,elmat,1,"B = repmat(A,r1,...,rN)",unprobed,no sample for this form's arguments
repmat,elmat,2,"B = repmat(A,r)",accepted,
rot90,elmat,0,B = rot90(A),accepted,
rot90,elmat,1,"B = rot90(A,k)",accepted,
squeeze,elmat,0,B = squeeze(A),accepted,
sub2ind,elmat,0,"ind = sub2ind(sz,row,col)",accepted,
sub2ind,elmat,1,"ind = sub2ind(sz,I1,I2,...,In)",unprobed,no sample for this form's arguments
width,elmat,0,W = width(T),accepted,
ode45,funfun,0,"[t,y] = ode45(odefun,tspan,y0)",error,"sin expects 1 argument(s), but got 2."
ode45,funfun,1,"[t,y] = ode45(odefun,tspan,y0,options)",error,"ode45 expects 3 argument(s), but got 4."
ode45,funfun,2,"[t,y,te,ye,ie] = ode45(odefun,tspan,y0,options)",error,"ode45 expects 3 argument(s), but got 4."
ode45,funfun,3,sol = ode45(___),error,"ode45 produces two outputs: use [t, y] = ode45(f, tspan, y0)."
run,lang,0,run(scriptname),refused,run: cannot read 'E:\Temp_Folder\Appdata\Local\Temp\jgraph-toolbox-_rndz1k9\a': Could not find file 'E:\Temp_Folder\Appdata\Local\Temp\jgraph-toolbox-_rndz1k9\a'.
validateattributes,lang,0,"validateattributes(A,classes,attributes)",error,validateattributes expects a cell of class names.
validateattributes,lang,1,"validateattributes(A,classes,attributes,argIndex)",error,"validateattributes expects argument 4 to be a string, but got a number."
validateattributes,lang,2,"validateattributes(A,classes,attributes,funcName)",error,validateattributes expects a cell of class names.
validateattributes,lang,3,"validateattributes(A,classes,attributes,funcName,varName)",error,validateattributes expects a cell of class names.
validateattributes,lang,4,"validateattributes(A,classes,attributes,funcName,varName,argIndex)",error,validateattributes expects a cell of class names.
cond,matfun,0,C = cond(A),error,"cond needs a square matrix, but got 2x3."
cond,matfun,1,"C = cond(A,p)",error,"cond needs a square matrix, but got 2x3."
expm,matfun,0,Y = expm(X),error,"expm needs a square matrix, but got 2x3."
logm,matfun,0,L = logm(A),accepted,
logm,matfun,1,"[L,exitflag] = logm(A)",error,"This call returns 1 value(s), but 2 were asked for."
mpower,matfun,0,C = A^B,unprobed,no sample for this form's arguments
mpower,matfun,1,"C = mpower(A,B)",accepted,
null,matfun,0,Z = null(A),accepted,
null,matfun,1,"Z = null(A,'r')",error,"null expects 1 argument(s), but got 2."
orth,matfun,0,Q = orth(A),accepted,
pinv,matfun,0,B = pinv(A),accepted,
pinv,matfun,1,"B = pinv(A,tol)",error,"pinv expects 1 argument(s), but got 2."
rank,matfun,0,k = rank(A),accepted,
rank,matfun,1,"k = rank(A,tol)",accepted,
schur,matfun,0,T = schur(A),accepted,
schur,matfun,1,"T = schur(A,flag)",unprobed,no sample for this form's arguments
schur,matfun,2,"[U,T] = schur(A,...)",unprobed,no sample for this form's arguments
sqrtm,matfun,0,X = sqrtm(A),accepted,
sqrtm,matfun,1,"[X,residual] = sqrtm(A)",error,"This call returns 1 value(s), but 2 were asked for."
sqrtm,matfun,2,"[X,alpha,condx] = sqrtm(A)",error,"This call returns 1 value(s), but 3 were asked for."
idivide,ops,0,"C = idivide(A,B)",accepted,
idivide,ops,1,"C = idivide(A,B,opt)",accepted,
kron,ops,0,"K = kron(A,B)",unprobed,no sample for this form's arguments
fminbnd,optimfun,0,"x = fminbnd(fun,x1,x2)",accepted,
fminbnd,optimfun,1,"x = fminbnd(fun,x1,x2,options)",unprobed,no sample for this form's arguments
fminbnd,optimfun,2,x = fminbnd(problem),unprobed,no sample for this form's arguments
fminbnd,optimfun,3,"[x,fval] = fminbnd(___)",accepted,
fminbnd,optimfun,4,"[x,fval,exitflag] = fminbnd(___)",accepted,
fminbnd,optimfun,5,"[x,fval,exitflag,output] = fminbnd(___)",accepted,
fminsearch,optimfun,0,"x = fminsearch(fun,x0)",error,User supplied objective function must return a scalar value.
fminsearch,optimfun,1,"x = fminsearch(fun,x0,options)",unprobed,no sample for this form's arguments
fminsearch,optimfun,2,x = fminsearch(problem),unprobed,no sample for this form's arguments
fminsearch,optimfun,3,"[x,fval] = fminsearch(___)",error,User supplied objective function must return a scalar value.
fminsearch,optimfun,4,"[x,fval,exitflag] = fminsearch(___)",error,User supplied objective function must return a scalar value.
fminsearch,optimfun,5,"[x,fval,exitflag,output] = fminsearch(___)",error,User supplied objective function must return a scalar value.
fzero,optimfun,0,"x = fzero(fun,x0)",accepted,
fzero,optimfun,1,"x = fzero(fun,x0,options)",unprobed,no sample for this form's arguments
fzero,optimfun,2,x = fzero(problem),unprobed,no sample for this form's arguments
fzero,optimfun,3,"[x,fval,exitflag,output] = fzero(___)",accepted,
lsqnonneg,optimfun,0,"x = lsqnonneg(C,d)",error,lsqnonneg: d must have one entry per row of C.
lsqnonneg,optimfun,1,"x = lsqnonneg(C,d,options)",unprobed,no sample for this form's arguments
lsqnonneg,optimfun,2,x = lsqnonneg(problem),unprobed,no sample for this form's arguments
lsqnonneg,optimfun,3,"[x,resnorm,residual] = lsqnonneg(___)",error,lsqnonneg: d must have one entry per row of C.
lsqnonneg,optimfun,4,"[x,resnorm,residual,exitflag,output] = lsqnonneg(___)",error,lsqnonneg: d must have one entry per row of C.
lsqnonneg,optimfun,5,"[x,resnorm,residual,exitflag,output,lambda] = lsqnonneg(___)",error,lsqnonneg: d must have one entry per row of C.
optimget,optimfun,0,"val = optimget(options,'param')",unprobed,no sample for this form's arguments
