name,status,kind,method_classes,none,double,string,cell,struct,fh,char,logical,int8,table,datetime,duration,categorical,map,"double,double","double,string","string,double","double,cell","cell,double","double,struct","double,fh","int8,double","double,char","char,double","string,string","double,table","table,double","double,datetime","datetime,double","double,duration","double,categorical","double,map","map,double","string,cell","cell,string","double,double,string","double,double,cell"
alphamap,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
amd,measured,builtin,double;logical;single,file,builtin,file,file,file,file,file,builtin,file,file,file,file,file,file,builtin,file,file,file,file,file,file,file,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,file,file
ancestor,measured,builtin,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
and,measured,builtin,char;codistributed;conbase;conboolean;conrange;conswitch;dlarray;double;gpuArray;half;int16;int32;int64;int8;logical;mtree;single;tabular;uint16;uint32;uint64;uint8,file,builtin-err,file,file,file,file,builtin-err,builtin-err,builtin-err,builtin-err,file,file,file,file,builtin,file,file,file,file,file,file,builtin,builtin,builtin,file,builtin,builtin,file,file,file,file,file,file,file,file,file,file
andrewsplot,measured,none,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
angle,measured,mfile,codistributed;dlarray;gpuArray;sym,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
animatedline,measured,builtin,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
annotation,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
anova1,measured,none,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
anova2,measured,none,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
anovan,measured,none,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
ansaribradley,measured,none,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
any,measured,builtin,codistributed;dlarray;double;gpuArray;half;int16;int32;int64;int8;logical;single;tall;uint16;uint32;uint64;uint8,file,builtin,file,file,file,file,file,builtin,builtin,file,file,file,file,file,builtin-err,file,file,file,file,file,file,builtin-err,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,file,file
anymissing,measured,mfile,codistributed;gpuArray;tall,file,builtin,file,file,file,file,file,builtin,builtin,file,file,file,file,file,builtin-err,file,file,file,file,file,file,builtin-err,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,file,file
append,measured,mfile,InputOutputModel;cgoppoint;designdev;double;esbacktest;sweepset;timeseries;varbacktest;xreglistctrl,file,builtin-err,builtin,file,file,file,file,file,file,file,file,file,file,file,builtin-err,builtin-err,builtin-err,file,file,file,file,file,builtin-err,file,builtin,file,file,file,file,file,file,file,file,builtin-err,builtin-err,builtin-err,file
applylut,measured,mfile,gpuArray,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
arburg,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
arcov,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
area,measured,mfile,alphaShape;polyshape,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
argnames,measured,mfile,fittype;inline,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
armcov,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
array2table,measured,mfile,tall,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
arrayfun,measured,builtin,codistributed;gpuArray;tall,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
aryule,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
asec,measured,builtin,codistributed;dlarray;double;gpuArray;single;sym;tabular,file,builtin,file,file,file,file,file,file,file,builtin,file,file,file,file,builtin-err,file,file,file,file,file,file,file,builtin-err,file,file,builtin-err,builtin-err,file,file,file,file,file,file,file,file,file,file
asecd,measured,builtin,codistributed;double;gpuArray;single;sym;tabular,file,builtin,file,file,file,file,file,file,file,builtin,file,file,file,file,builtin-err,file,file,file,file,file,file,file,builtin-err,file,file,builtin-err,builtin-err,file,file,file,file,file,file,file,file,file,file
asech,measured,builtin,codistributed;double;gpuArray;single;sym;tabular,file,builtin,file,file,file,file,file,file,file,builtin,file,file,file,file,builtin-err,file,file,file,file,file,file,file,builtin-err,file,file,builtin-err,builtin-err,file,file,file,file,file,file,file,file,file,file
asin,measured,builtin,codistributed;dlarray;double;gpuArray;half;single;sym;tabular,file,builtin,file,file,file,file,file,file,file,builtin,file,file,file,file,builtin-err,file,file,file,file,file,file,file,builtin-err,file,file,builtin-err,builtin-err,file,file,file,file,file,file,file,file,file,file
asind,measured,builtin,codistributed;double;gpuArray;single;sym;tabular,file,builtin,file,file,file,file,file,file,file,builtin,file,file,file,file,builtin-err,file,file,file,file,file,file,file,builtin-err,file,file,builtin-err,builtin-err,file,file,file,file,file,file,file,file,file,file
asinh,measured,builtin,codistributed;dlarray;double;gpuArray;half;single;sym;tabular,file,builtin,file,file,file,file,file,file,file,builtin,file,file,file,file,builtin-err,file,file,file,file,file,file,file,builtin-err,file,file,builtin-err,builtin-err,file,file,file,file,file,file,file,file,file,file
assert,measured,builtin,cgslparser;gpuArray,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
assignin,measured,builtin,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
atan,measured,builtin,codistributed;dlarray;double;gpuArray;half;single;sym;tabular,file,builtin,file,file,file,file,file,file,file,builtin,file,file,file,file,builtin-err,file,file,file,file,file,file,file,builtin-err,file,file,builtin-err,builtin-err,file,file,file,file,file,file,file,file,file,file
atan2,measured,builtin,codistributed;dlarray;double;gpuArray;half;single;sym;tabular,file,builtin-err,file,file,file,file,file,file,file,builtin-err,file,file,file,file,builtin,file,file,file,file,file,file,file,builtin-err,file,file,builtin,builtin,file,file,file,file,file,file,file,file,file,file
atan2d,measured,builtin,codistributed;double;gpuArray;single;sym;tabular,file,builtin-err,file,file,file,file,file,file,file,builtin-err,file,file,file,file,builtin,file,file,file,file,file,file,file,builtin-err,file,file,builtin,builtin,file,file,file,file,file,file,file,file,file,file
atand,measured,builtin,codistributed;double;gpuArray;single;sym;tabular,file,builtin,file,file,file,file,file,file,file,builtin,file,file,file,file,builtin-err,file,file,file,file,file,file,file,builtin-err,file,file,builtin-err,builtin-err,file,file,file,file,file,file,file,file,file,file
atanh,measured,builtin,codistributed;dlarray;double;gpuArray;half;single;sym;tabular,file,builtin,file,file,file,file,file,file,file,builtin,file,file,file,file,builtin-err,file,file,file,file,file,file,file,builtin-err,file,file,builtin-err,builtin-err,file,file,file,file,file,file,file,file,file,file
audioread,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
autumn,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
axes,measured,builtin,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
axis,measured,mfile,vrjoystick,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
axtoolbar,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
axtoolbarbtn,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
balance,measured,builtin,double;single,file,builtin,file,file,file,file,file,file,file,file,file,file,file,file,builtin-err,file,file,file,file,file,file,file,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,file,file
bandpass,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
bandpower,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
bandstop,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
bandwidth,measured,builtin,DynamicSystem;codistributed;gpuArray,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
bar,measured,mfile,half,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
bar3,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
bar3h,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
barh,measured,mfile,half,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
barthannwin,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
bartlett,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
barttest,measured,none,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
base2dec,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
bbdesign,measured,none,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
beep,measured,builtin,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
besselap,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
besself,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
besselh,measured,builtin,codistributed;double;single;sym,file,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,builtin,file,file,file,file,file,file,file,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,file,file
besseli,measured,builtin,codistributed;double;gpuArray;single;sym,file,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,builtin,file,file,file,file,file,file,file,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,file,file
besselj,measured,builtin,codistributed;double;gpuArray;single;sym,file,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,builtin,file,file,file,file,file,file,file,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,file,file
besselk,measured,builtin,codistributed;double;gpuArray;single;sym,file,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,builtin,file,file,file,file,file,file,file,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,file,file
bessely,measured,builtin,codistributed;double;gpuArray;single;sym,file,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,builtin,file,file,file,file,file,file,file,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,file,file
bestblk,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
beta,measured,mfile,codistributed;gpuArray;sym,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
betacdf,measured,none,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
BetaDistribution,measured,none,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
betafit,measured,none,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
betainc,measured,builtin,codistributed;double;gpuArray;single;tall,file,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,builtin-err,file,file,file,file,file,file,file,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,file,file
betaincinv,measured,builtin,codistributed;double;gpuArray;single;tall,file,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,builtin-err,file,file,file,file,file,file,file,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,file,file
betainv,measured,none,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
betalike,measured,none,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
betaln,measured,mfile,codistributed;gpuArray,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
betapdf,measured,none,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
betarnd,measured,none,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
betastat,measured,none,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
between,measured,mfile,codistributed;datetime;tall,file,file,file,file,file,file,file,file,file,file,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,builtin-err,builtin-err,file,file,file,file,file,file,file,file
bfscore,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
bicg,measured,mfile,codistributed;gpuArray,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
bicgstab,measured,mfile,codistributed;gpuArray,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
bicgstabl,measured,mfile,codistributed;gpuArray,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
bilinear,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
bin2dec,measured,builtin,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
binocdf,measured,none,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
binofit,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
binoinv,measured,none,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
BinomialDistribution,measured,none,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
binopdf,measured,none,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
binornd,measured,none,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
binostat,measured,none,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
binscatter,measured,mfile,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
biplot,measured,none,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
BirnbaumSaundersDistribution,measured,none,,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
bitand,measured,builtin,codistributed;double;gpuArray;int16;int32;int64;int8;logical;single;uint16;uint32;uint64;uint8,file,builtin-err,file,file,file,file,file,builtin-err,builtin-err,file,file,file,file,file,builtin-err,file,file,file,file,file,file,builtin-err,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,file,file
bitcmp,measured,builtin,double;gpuArray;int16;int32;int64;int8;logical;single;uint16;uint32;uint64;uint8,file,builtin-err,file,file,file,file,file,builtin-err,builtin,file,file,file,file,file,builtin-err,file,file,file,file,file,file,builtin-err,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,file,file
bitget,measured,builtin,double;gpuArray;int16;int32;int64;int8;logical;single;uint16;uint32;uint64;uint8,file,builtin-err,file,file,file,file,file,builtin-err,builtin-err,file,file,file,file,file,builtin-err,file,file,file,file,file,file,builtin-err,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,file,file
bitor,measured,builtin,codistributed;double;gpuArray;int16;int32;int64;int8;logical;single;uint16;uint32;uint64;uint8,file,builtin-err,file,file,file,file,file,builtin-err,builtin-err,file,file,file,file,file,builtin-err,file,file,file,file,file,file,builtin-err,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,file,file
bitrevorder,measured,mfile,gpuArray,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
bitset,measured,builtin,double;gpuArray;int16;int32;int64;int8;logical;single;uint16;uint32;uint64;uint8,file,builtin-err,file,file,file,file,file,builtin-err,builtin-err,file,file,file,file,file,builtin-err,file,file,file,file,file,file,builtin-err,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,file,file
