name,kind,form_index,syntax,verdict,detail
chol,builtin,4,"[R,flag,P] = chol(___,outputForm)",accepted,
cholupdate,builtin,0,"R1 = cholupdate(R,x)",unprobed,no sample for this form's arguments
cholupdate,builtin,1,"R1 = cholupdate(R,x,'+')",unprobed,no sample for this form's arguments
cholupdate,builtin,2,"R1 = cholupdate(R,x,'-')",unprobed,no sample for this form's arguments
cholupdate,builtin,3,"[R1,p] = cholupdate(R,x,'-')",unprobed,no sample for this form's arguments
cla,function,0,cla,accepted,
cla,function,1,cla(ax),accepted,
cla,function,2,cla reset,accepted,
cla,function,3,"cla(ax,'reset')",accepted,
clabel,function,0,"clabel(C,h)",unprobed,no sample for this form's arguments
clabel,function,1,"clabel(C,h,v)",unprobed,no sample for this form's arguments
clabel,function,2,"clabel(C,h,'manual')",unprobed,no sample for this form's arguments
clabel,function,3,"t = clabel(C,h,'manual')",unprobed,no sample for this form's arguments
clabel,function,4,clabel(C),error,"clabel wants the handle a contour returned, as in [C, h] = contour(X, Y, Z); clabel(C, h)."
clabel,function,5,"clabel(C,v)",error,"clabel wants the handle a contour returned, as in [C, h] = contour(X, Y, Z); clabel(C, h)."
clabel,function,6,"clabel(C,'manual')",error,"clabel wants the handle a contour returned, as in [C, h] = contour(X, Y, Z); clabel(C, h)."
clabel,function,7,tl = clabel(___),error,"clabel wants the handle a contour returned, as in [C, h] = contour(X, Y, Z); clabel(C, h)."
clabel,function,8,"clabel(___,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
class,builtin,0,className = class(obj),unprobed,no sample for this form's arguments
clc,builtin,0,clc,accepted,
clear,builtin,0,clear,accepted,
clear,builtin,1,clear name1 ... nameN,unprobed,no sample for this form's arguments
clear,builtin,2,clear -regexp expr1 ... exprN,unprobed,no sample for this form's arguments
clear,builtin,3,clear ItemType,accepted,
clearpoints,builtin,0,clearpoints(an),unprobed,no sample for this form's arguments
clf,function,0,clf,accepted,
clf,function,1,clf(fig),accepted,
clf,function,2,clf('reset'),error,"clf expects argument 1 to be a number, but got a string."
clf,function,3,"clf(fig,'reset')",error,"clf expects between 0 and 1 argument(s), but got 2."
clf,function,4,f = clf(___),accepted,
clock,builtin,0,c = clock,accepted,
clock,builtin,1,[c tf] = clock,accepted,
close,function,0,close,accepted,
close,function,1,close(fig),accepted,
close,function,2,close all,accepted,
close,function,3,close all hidden,accepted,
close,function,4,close all force,accepted,
close,function,5,status = close(___),accepted,
cmpermute,function,0,"[Y,newmap] = cmpermute(X,map)",accepted,
cmpermute,function,1,"[Y,newmap] = cmpermute(X,map,index)",error,"cmpermute: the order has one entry per colormap row, so 2, but got 3."
cmunique,function,0,"[Y,newmap] = cmunique(X,map)",accepted,
cmunique,function,1,"[Y,newmap] = cmunique(RGB)",error,"cmunique expects a picture, not a colormap."
cmunique,function,2,"[Y,newmap] = cmunique(I)",error,"cmunique expects a picture, not a colormap."
colon,builtin,0,x = j:k,unprobed,no sample for this form's arguments
colon,builtin,1,x = j:i:k,unprobed,no sample for this form's arguments
colon,builtin,2,"x = colon(j,k)",accepted,
colon,builtin,3,"x = colon(j,i,k)",accepted,
colon,builtin,4,"A(:,n)",unprobed,no sample for this form's arguments
colon,builtin,5,"A(m,:)",unprobed,no sample for this form's arguments
colon,builtin,6,A(:),unprobed,no sample for this form's arguments
colon,builtin,7,A(j:k),unprobed,no sample for this form's arguments
colorbar,function,0,colorbar,accepted,
colorbar,function,1,colorbar(location),error,"colorbar expects 'on' or 'off', but got 'eastoutside'."
colorbar,function,2,"colorbar(___,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
colorbar,function,3,"colorbar(target,___)",accepted,
colorbar,function,4,c = colorbar(___),accepted,
colorbar,function,5,colorbar('off'),accepted,
colorbar,function,6,"colorbar(target,'off')",error,"colorbar expects between 0 and 1 argument(s), but got 2."
colorcube,function,0,c = colorcube,accepted,
colorcube,function,1,c = colorcube(m),accepted,
colordef,function,0,colordef white,accepted,
colordef,function,1,colordef black,accepted,
colordef,function,2,colordef none,accepted,
colordef,function,3,"colordef(fig,color_option)",unprobed,no sample for this form's arguments
colordef,function,4,"h = colordef('new',color_option)",unprobed,no sample for this form's arguments
colormap,function,0,colormap map,error,"Unknown colormap 'map'. Known colormaps: parula, viridis, turbo, jet, hot, cool, gray, hsv, bone, copper, pink, spring, summer, autumn, winter, lines, flag, prism."
colormap,function,1,colormap(map),error,"Unknown colormap 'default'. Known colormaps: parula, viridis, turbo, jet, hot, cool, gray, hsv, bone, copper, pink, spring, summer, autumn, winter, lines, flag, prism."
colormap,function,2,"colormap(target,map)",error,"Unknown colormap 'default'. Known colormaps: parula, viridis, turbo, jet, hot, cool, gray, hsv, bone, copper, pink, spring, summer, autumn, winter, lines, flag, prism."
colormap,function,3,cmap = colormap,accepted,
colormap,function,4,cmap = colormap(target),accepted,
colororder,function,0,colororder(newcolors),error,colororder: unknown color 'default'.
colororder,function,1,"colororder(target,newcolors)",error,"colororder expects between 0 and 1 argument(s), but got 2."
colororder,function,2,C = colororder,accepted,
colororder,function,3,C = colororder(target),error,"colororder expects argument 1 to be a matrix (an array of row arrays), but got a number."
comet,function,0,comet(y),accepted,
comet,function,1,"comet(x,y)",accepted,
comet,function,2,"comet(x,y,p)",accepted,
comet,function,3,"comet(ax,x,y,p)",accepted,
comet3,function,0,comet3(z),error,comet3 takes 3 coordinate vectors.
comet3,function,1,"comet3(x,y,z)",accepted,
comet3,function,2,"comet3(x,y,z,p)",accepted,
comet3,function,3,"comet3(ax,x,y,z,p)",accepted,
compass,function,0,"compass(U,V)",accepted,
compass,function,1,compass(Z),error,"compass takes both components: compass(u, v), or one complex array: compass(z)."
compass,function,2,"compass(___,LineSpec)",accepted,
compass,function,3,"compass(ax,___)",accepted,
compass,function,4,c = compass(___),accepted,
complex,builtin,0,"z = complex(a,b)",accepted,
complex,builtin,1,z = complex(x),accepted,
computer,builtin,0,str = computer,accepted,
computer,builtin,1,archstr = computer('arch'),accepted,
computer,builtin,2,"[str,maxsize] = computer",error,"This call returns 1 value(s), but 2 were asked for."
computer,builtin,3,"[str,maxsize,endian] = computer",error,"This call returns 1 value(s), but 3 were asked for."
coneplot,function,0,"coneplot(X,Y,Z,U,V,W,Cx,Cy,Cz)",unprobed,no sample for this form's arguments
coneplot,function,1,"coneplot(U,V,W,Cx,Cy,Cz)",unprobed,no sample for this form's arguments
coneplot,function,2,"coneplot(...,s)",unprobed,no sample for this form's arguments
coneplot,function,3,"coneplot(...,color)",unprobed,no sample for this form's arguments
